AC,O2Hb,HHB,HTb,HB_diff,TSI,PI
0.6243316,6.68917795,2.46737851,9.15645676,4.22179952,93.64492493,1.3
0.6786184,6.8779706,2.62635235,9.50422298,4.25161824,93.37048875,1.3
0.7965676,7.14002744,2.80212326,9.94205082,4.33790422,93.02671051,1.4
0.8416916,7.22644682,2.93836171,10.16470842,4.28808509,93.07862626,1.5
1.0097973,7.33251578,3.07110957,10.40352536,4.26140603,93.0209671,1.5
1.0698046,7.51381921,3.22846064,10.74217959,4.28535848,92.88675462,1.5
1.0796553,7.54710545,3.35613801,10.90314341,4.19096743,92.91441497,1.5
1.1149286,7.61898109,3.47963222,11.09851342,4.13934883,92.78686218,1.6
1.115617,7.75571594,3.61607306,11.37168884,4.13964286,92.59751433,1.6
1.1254678,7.74159455,3.73403166,11.47552643,4.00756284,92.70725096,1.7
0.9743101,7.75376443,3.84956987,11.60323449,3.90419451,92.70348894,1.7
1.3945747,7.88603424,3.99777234,11.88370667,3.88826193,92.49385376,1.8
1.4660232,8.03046456,4.14086157,12.17122622,3.88960302,92.32929383,1.9
1.5551085,8.13037367,4.28426595,12.41453962,3.84610777,92.2348236,1.9
1.6123624,8.23092364,4.42319718,12.65402069,3.80772648,92.13253631,2
1.6025114,8.30060129,4.5534098,12.8539111,3.74719146,92.1284256,2
1.634343,8.28712101,4.66689535,12.95391637,3.62022556,92.32173159,2
1.6661744,8.31044482,4.79296736,13.103312,3.51747729,92.29711457,2
1.5015102,8.42519427,4.93626676,13.36136112,3.48892749,92.0779709,2.1
1.8377218,8.54070083,5.09799362,13.63859434,3.44270733,91.99938203,2.1
1.7946629,8.65183297,5.25360709,13.90534009,3.39822581,91.88822632,2.1
1.8285594,8.85143526,5.41473871,14.26607389,3.43669661,91.59172059,2.1
1.8455076,8.92448112,5.56671177,14.49109286,3.35776942,91.6448784,1.9
1.747948,9.00547171,5.69125857,14.69663046,3.3142133,91.66458055,1.8
1.6808436,9.07881441,5.83038238,14.90909671,3.24843202,91.62225265,2
1.7486368,9.12233849,5.9663659,15.08860417,3.15597268,91.72935029,2
1.7225256,9.13315763,6.08917504,15.22223265,3.04398261,91.81025772,2
1.7380972,9.17265119,6.22742134,15.39997255,2.94522991,91.77724991,2
1.745883,9.19787646,6.35962433,15.55740089,2.83825214,91.84310148,2
1.6519794,9.19348974,6.49371266,15.68710251,2.69977711,91.99843598,2
1.7685523,9.17469702,6.61840715,15.79300421,2.55628977,92.09225081,2
1.83428,9.2324895,6.76043401,15.99282323,2.47205545,91.95395814,2
1.6780901,9.21014786,6.8991178,16.10916558,2.31103005,92.03273468,2
1.8143645,9.18004198,7.02947817,16.20942002,2.15056382,92.10322418,2
1.7916956,9.19835024,7.1539101,16.35216064,2.04444015,92.09629364,1.9
1.7252793,9.23161507,7.30113764,16.53265267,1.93047756,92.05672837,1.9
1.8079553,9.21740379,7.43697117,16.65427494,1.78043248,92.11012497,1.9
1.8015461,9.21132212,7.56995437,16.78117677,1.64136774,92.17393798,2
1.6785646,9.22502766,7.70279736,16.92772503,1.52223027,92.21264878,2
1.6636815,9.20779218,7.82524662,17.03293877,1.38254542,92.32649077,2
1.639636,9.1858161,7.95275656,17.13847274,1.23305956,92.39651184,2.1
1.418406,9.19026899,8.08119659,17.27136535,1.10907248,92.42207109,2.1
1.5109334,9.21661711,8.22065304,17.43717022,0.99596399,92.43802641,2.1
1.3547435,9.21958171,8.35301361,17.57249527,0.86656803,92.47154694,2.1
1.3462696,9.26564799,8.49065475,17.75620287,0.7749932,92.46965789,2.1
1.2883272,9.33015098,8.6354269,17.96547737,0.69472398,92.42572402,2.1
1.1477089,9.3484376,8.77940903,18.12774657,0.56902875,92.41619264,2.1
0.9491486,9.4012146,8.91979542,18.32091027,0.48141901,92.42716902,1.9
1.0430522,9.51440687,9.06534013,18.57964689,0.44906673,92.43854447,1.8
0.9844217,9.51269999,9.20443669,18.71703625,0.30826341,92.59547349,1.8
0.8827324,9.5601859,9.33648204,18.89656753,0.22370383,92.67042769,1.7
0.9809799,9.67816609,9.49819137,19.17625731,0.1799746,92.67568357,1.7
0.8983035,9.75613726,9.66967965,19.42571678,0.08645766,92.66837463,1.7
0.9067779,9.85920808,9.82981862,19.68892688,0.02938937,92.74227676,1.5
0.9569345,10.0149989,9.9884673,20.00336645,0.02653141,92.84165802,1.5
0.8820438,10.09170979,10.14935189,20.24096145,-0.05764202,92.91591339,1.5
0.76616,10.16349524,10.29072104,20.45411644,-0.12722571,93.00563431,1.5
0.8621283,10.25754136,10.43193255,20.68937379,-0.17439124,93.0067375,1.4
0.9787007,10.31002131,10.58516837,20.89508953,-0.27514695,93.02560043,1.3
1.046494,10.35423374,10.73790397,21.09203758,-0.38367022,93.009169,1.3
0.9193817,10.4129424,10.88215847,21.29500104,-0.46921609,93.07016831,1.3
0.9271684,10.46338357,11.02591305,21.48919697,-0.56252954,93.1216713,1.3
0.9468693,10.49403753,11.16980752,21.66374513,-0.67577023,93.12606203,1.3
1.0196948,10.53545372,11.29463463,21.82998829,-0.75918089,93.19086991,1.3
1.0437402,10.57020675,11.43794146,22.0080488,-0.86773462,93.2208252,1.3
0.9688501,10.59188336,11.58413412,22.17591762,-0.9922505,93.27425079,1.3
0.9193821,10.68601979,11.70747041,22.39339028,-1.02145088,93.26930466,1.4
0.9752598,10.77573843,11.86379424,22.63943272,-1.08805575,93.2146141,1.4
1.0162535,10.87287749,12.02006539,22.89284285,-1.14718788,93.18090439,1.4
0.9251022,11.04355146,12.13950873,23.18296013,-1.09595731,93.15342179,1.4
0.8424273,11.16240044,12.28222056,23.44452096,-1.11982011,93.17794877,1.5
0.8085299,11.23391046,12.41688891,23.65069943,-1.18297826,93.23282319,1.5
0.6516513,11.27686251,12.55902034,23.83578339,-1.282158,93.3101036,1.5
0.7208224,11.32732504,12.68322486,24.01044979,-1.35589987,93.3762268,1.5
0.5300474,11.35500222,12.83496056,24.18986263,-1.47995831,93.41619186,1.5
0.3399601,11.38190099,12.98781883,24.36961974,-1.60591794,93.43140182,1.5
0.4253902,11.44528102,13.1253376,24.57051849,-1.68005642,93.39723892,1.4
0.4260788,11.4907753,13.26912699,24.75980224,-1.77835166,93.420018,1.3
0.3271418,11.50489388,13.41202136,24.91681499,-1.90712751,93.49653169,1.3
0.2600374,11.55583811,13.54795237,25.10369071,-1.99211413,93.51521377,1.2
0.2353039,11.63312112,13.70268823,25.33570939,-2.06956713,93.54346619,1.3
0.2197323,11.71159554,13.86635303,25.57784862,-2.15475734,93.55936128,1.3
0.1993427,11.77094516,14.00613451,25.77697983,-2.23518908,93.65036162,1.1
0.0319252,11.78691767,14.13393423,25.92075158,-2.34701649,93.71209716,1.1
0.1203223,11.76207695,14.23186033,25.99383736,-2.46978338,93.77875213,1.1
0.161315,11.71389989,14.34391545,26.05771504,-2.63001559,93.86745985,1
0.128108,11.62113315,14.45461084,26.07564392,-2.83347778,93.97747955,1
0.0864257,11.54654867,14.54618586,26.09263534,-2.99963723,94.04075013,1
0.0772629,11.45822544,14.6646697,26.12279473,-3.20644445,94.14936828,0.99
0.1111593,11.37656509,14.76467372,26.14113884,-3.38810855,94.23039552,0.99
0.1141262,11.32218093,14.86616001,26.18824101,-3.5439791,94.26140825,0.99
0.1388607,11.26862277,14.98774929,26.25627212,-3.71912638,94.33173903,0.99
0.1310749,11.18643769,15.11512672,26.30146485,-3.92868885,94.37970122,0.97
0.1571855,11.13026869,15.2333832,26.36355171,-4.10311422,94.4016365,0.94
0.225667,11.07162628,15.35165682,26.42318306,-4.28003054,94.46288222,0.96
