ir,ia,ir690_ctr,ir690_left,ir690_right,iir,iia,iir690_ctr,iir690_left,iir690_right
4.00E-06,0.51411,,,,2.62E-05,0.063468,,,
4.13E-06,0.51699,,,,2.55E-05,0.063468,,,
4.22E-06,0.53689,,,,2.45E-05,0.063468,,,
4.28E-06,0.56962,,,,2.38E-05,0.063468,,,
4.50E-06,0.53444,,,,2.30E-05,0.063468,,,
4.56E-06,0.57111,,,,2.24E-05,0.063468,,,
4.59E-06,0.62385,,,,2.15E-05,0.063468,,,
4.77E-06,0.61516,,,,2.10E-05,0.063468,,,
4.91E-06,0.622,,,,2.05E-05,0.063468,,,
5.05E-06,0.63205,,,,1.97E-05,0.063468,,,
