i690,i750,i800,i850,ii690,ii750,ii800,ii850,Ambient,a690,aa690,patient 13-slice4-unhealthy
56450,56653,53847,51886,5047,5307,5399,5173,5148,0.0184,0.0154,
54608,54873,51965,50327,5134,5315,5462,5209,5185,0.0184,0.0768,
52578,52923,49949,48298,5082,5326,5401,5163,5105,0.0184,0.0218,
50641,50825,48093,46400,5037,5322,5359,5170,5124,0.0184,0.0664,
48781,49024,46293,44681,5116,5318,5408,5131,5087,0.0184,0.3579,
46963,47333,44529,42975,5003,5281,5306,5136,5003,0.0184,0.1175,
45093,45475,42890,41152,4986,5244,5401,5143,4990,0.0184,0.3281,
43371,43738,41211,39433,5024,5249,5363,5143,4997,0.0184,0.2534,
41748,42180,39486,37969,4997,5187,5354,5042,4982,0.0184,0.0508,
40147,40349,38126,36383,4982,5241,5319,5030,4958,0.0184,0.4825,
38531,38643,36396,34923,4955,5204,5322,5036,4939,0.0184,0,
37033,37244,35012,33490,4902,5168,5333,4953,4854,0.0184,0.1793,
35603,35899,33778,32185,4879,5161,5267,5034,4864,0.0184,0.0232,
34098,34371,32385,30858,4853,5165,5311,4982,4850,0.0184,0.5349,
32775,33103,31023,29532,4824,5151,5269,4951,4847,0.0184,0.5349,
31550,31854,29761,28489,4774,5105,5226,4885,4769,0.0184,0.4204,
30297,30626,28631,27380,4775,5141,5231,4931,4774,0.0184,0.427,
29150,29489,27565,26170,4772,5108,5234,4902,4750,0.0184,0.5767,
28092,28422,26511,25340,4828,5038,5232,4901,4756,0.0184,0.6337,
26953,27191,25369,24167,4742,5076,5261,4894,4733,0.0184,0.8861,
25819,26187,24429,23252,4709,5048,5241,4829,4678,0.0184,0.8017,
24784,25155,23557,22267,4699,5032,5185,4806,4649,0.0184,0.3421,
23882,24257,22490,21334,4667,5037,5150,4770,4640,0.0184,0.8367,
22973,23291,21680,20625,4646,4994,5164,4765,4567,0.0184,0.7704,
21975,22280,20843,19723,4636,4976,5188,4768,4508,0.0184,0.5432,
21224,21451,20037,18888,4613,5049,5232,4761,4549,0.0184,0.8341,
20348,20883,19301,18489,4607,5014,5168,4731,4503,0.0184,0.7981,
19659,20061,18580,17752,4645,5033,5207,4734,4515,0.0184,0.8334,
18777,19136,17834,16955,4542,5012,5116,4668,4433,0.0184,0.9428,
18113,18486,17219,16258,4510,5027,5114,4685,4444,0.0184,0.735,
17406,17737,16525,15633,4498,5009,5139,4666,4432,0.0184,0.9269,
16662,17034,15958,15128,4467,5029,5097,4639,4361,0.0184,0.4145,
16204,16583,15356,14593,4480,5008,5189,4613,4363,0.0184,0.7996,
15518,15883,14818,13928,4428,4958,5159,4602,4328,0.0184,0.6975,
