intensity,750,800,850,uaa,left,right,ctr,,,
4.30E-05,,,,0.4386,,,,,,
4.48E-05,,,,0.3819,,,,,,
4.73E-05,,,,0.5133,,,,,,
4.91E-05,,,,0.5446,,,,,,
5.12E-05,,,,0.9369,,,,,,
5.39E-05,,,,0.7479,,,,,,
5.60E-05,,,,0.761,,,,,,
5.86E-05,,,,0.7078,,,,,,
6.11E-05,,,,0.682,,,,,,
6.40E-05,,,,0.5997,,,,,,
6.65E-05,,,,0.6671,,,,,,
6.99E-05,,,,0.5318,,,,,,
7.25E-05,,,,0.6299,,,,,,
7.58E-05,,,,0.6089,,,,,,
7.92E-05,,,,0.6095,,,,,,
8.23E-05,,,,0.7316,,,,,,
8.59E-05,,,,0.7855,,,,,,
8.97E-05,,,,0.8144,,,,,,
9.36E-05,,,,0.8797,,,,,,
9.72E-05,,,,0.5708,,,,,,
