intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9
45955,0.2621,,,,,,,,,
44024,0.3077,,,,,,,,,
41980,0.265,,,,,,,,,
40239,0.2302,,,,,,,,,
38459,0.2626,,,,,,,,,
36861,0.238,,,,,,,,,
35204,0.3201,,,,,,,,,
33711,0.3018,,,,,,,,,
32338,0.2674,,,,,,,,,
30911,0.2516,,,,,,,,,
29721,0.2252,,,,,,,,,
28490,0.3238,,,,,,,,,
27246,0.3082,,,,,,,,,
26192,0.3009,,,,,,,,,
25175,0.2649,,,,,,,,,
24239,0.2643,,,,,,,,,
23254,0.2484,,,,,,,,,
22365,0.252,,,,,,,,,
21465,0.2367,,,,,,,,,
20582,0.2415,,,,,,,,,
19750,0.2342,,,,,,,,,
18960,0.2434,,,,,,,,,
18342,0.2394,,,,,,,,,
17568,0.231,,,,,,,,,
16906,0.2422,,,,,,,,,
16315,0.2279,,,,,,,,,
15637,0.2411,,,,,,,,,
15017,0.2521,,,,,,,,,
14603,0.25,,,,,,,,,
14005,0.2715,,,,,,,,,
13533,0.2776,,,,,,,,,
13017,0.2638,,,,,,,,,
12795,0.2256,,,,,,,,,
12049,0.303,,,,,,,,,
11588,0.3317,,,,,,,,,
11182,0.3,,,,,,,,,
10775,0.3326,,,,,,,,,
10413,0.3642,,,,,,,,,
9993,0.3658,,,,,,,,,
9538,0.3528,,,,,,,,,
9319,0.3984,,,,,,,,,
8925,0.193,,,,,,,,,
8598,0.2155,,,,,,,,,
8312,0.2197,,,,,,,,,
7989,0.2332,,,,,,,,,
7748,0.2311,,,,,,,,,
7476,0.2608,,,,,,,,,
7239,0.271,,,,,,,,,
6914,0.2754,,,,,,,,,
6719,0.1679,,,,,,,,,
6443,0.1996,,,,,,,,,
6242,0.1905,,,,,,,,,
6049,0.2182,,,,,,,,,
5826,0.2504,,,,,,,,,
5639,0.2438,,,,,,,,,
5432,0.2947,,,,,,,,,
5237,0.2896,,,,,,,,,
5129,0.3196,,,,,,,,,
4944,0.3438,,,,,,,,,
4721,0.3576,,,,,,,,,
4596,0.3643,,,,,,,,,
4472,0.3936,,,,,,,,,
4287,0.4274,,,,,,,,,
4143,0.4601,,,,,,,,,
4044,0.1831,,,,,,,,,
3885,0.1853,,,,,,,,,
3769,0.2313,,,,,,,,,
3612,0.244,,,,,,,,,
3525,0.2615,,,,,,,,,
3421,0.2763,,,,,,,,,
3327,0.3088,,,,,,,,,
3222,0.4057,,,,,,,,,
3153,0.3296,,,,,,,,,
3037,0.3993,,,,,,,,,
2932,0.3324,,,,,,,,,
2860,0.4352,,,,,,,,,
2771,0.2191,,,,,,,,,
2663,0.2389,,,,,,,,,
2612,0.2419,,,,,,,,,
2539,0.2757,,,,,,,,,
2494,0.3121,,,,,,,,,
2400,0.3136,,,,,,,,,
