AC,TSI,O2HB,HHB,THb,HB_diff,PI,,,
0.14059545,93.49653169,11.50489388,13.41202136,24.91681499,-1.90712751,1.3,,,
0.1600589,93.51521377,11.55583811,13.54795237,25.10369071,-1.99211413,1.2,,,
0.1604033,93.54346619,11.63312112,13.70268823,25.33570939,-2.06956713,1.3,,,
0.1515847,93.55936128,11.71159554,13.86635303,25.57784862,-2.15475734,1.3,,,
0.13956255,93.65036162,11.77094516,14.00613451,25.77697983,-2.23518908,1.1,,,
0.1657801,93.71209716,11.78691767,14.13393423,25.92075158,-2.34701649,1.1,,,
0.155478,93.77875213,11.76207695,14.23186033,25.99383736,-2.46978338,1.1,,,
0.2358522,93.86745985,11.71389989,14.34391545,26.05771504,-2.63001559,1,,,
0.22062445,93.97747955,11.62113315,14.45461084,26.07564392,-2.83347778,1,,,
0.2294426,94.04075013,11.54654867,14.54618586,26.09263534,-2.99963723,1,,,
0.21879715,94.14936828,11.45822544,14.6646697,26.12279473,-3.20644445,0.99,,,
0.136014,94.23039552,11.37656509,14.76467372,26.14113884,-3.38810855,0.99,,,
0.18696545,94.26140825,11.32218093,14.86616001,26.18824101,-3.5439791,0.99,,,
0.1444883,94.33173903,11.26862277,14.98774929,26.25627212,-3.71912638,0.99,,,
0.15227365,94.37970122,11.18643769,15.11512672,26.30146485,-3.92868885,0.97,,,
0.1841059,94.4016365,11.13026869,15.2333832,26.36355171,-4.10311422,0.94,,,
0.1837611,94.46288222,11.07162628,15.35165682,26.42318306,-4.28003054,0.96,,,
0.1996765,94.53669815,11.00613546,15.46383458,26.46987,-4.45769911,0.94,,,
0.17208245,94.53382569,10.95667685,15.58483639,26.54141369,-4.62815939,0.92,,,
0.1133452,94.55012589,10.88679036,15.71045102,26.59714087,-4.82366094,0.92,,,
0.1151724,94.58017045,10.8169035,15.83606577,26.65286942,-5.01916261,0.91,,,
0.0963964,94.61243135,10.74335175,15.95276946,26.69602051,-5.20941786,0.91,,,
0.0914707,94.66406021,10.68251095,16.07776088,26.76017283,-5.3952506,0.91,,,
0.0851688,94.69804382,10.61912813,16.20109614,26.82012367,-5.58196793,0.9,,,
0.05196095,94.7542694,10.54798098,16.31610641,26.86398811,-5.76812602,0.95,,,
0.0753183,94.79045943,10.4851014,16.43161775,26.91661872,-5.94651651,0.97,,,
0.10005235,94.81968462,10.41741277,16.55051402,26.96782684,-6.13310147,0.95,,,
0.1204424,94.8441925,10.34514275,16.65827143,27.00331402,-6.3131288,0.55,,,
0.1214743,94.84866257,10.29412678,16.78151893,27.07554512,-6.48739157,0.46,,,
0.136014,94.86612473,10.25117207,16.90023938,27.15131148,-6.64906755,0.35,,,
