690i,750i,800i,850i,690ii,750ii,800ii,850ii,label,d690,d750,d800,d850,ai690,
0.21755,0.22147,0.21986,0.22494,0.035103,0.031842,0.032815,0.03121,1,0.252653,0.253312,0.252675,0.25615,0.80106,
0.20814,0.21192,0.21106,0.2157,0.036268,0.034784,0.034934,0.032454,1,0.244408,0.246704,0.245994,0.248154,0.80919,
0.1989,0.20189,0.2013,0.20633,0.036823,0.035732,0.036527,0.033746,1,0.235723,0.237622,0.237827,0.240076,0.82506,
0.1943,0.19606,0.19456,0.20071,0.042429,0.038494,0.038892,0.037574,1,0.236729,0.234554,0.233452,0.238284,0.86749,
0.179,0.18332,0.18304,0.18637,0.040902,0.037988,0.039861,0.036916,1,0.219902,0.221308,0.222901,0.223286,0.81629,
0.17219,0.17565,0.17502,0.17785,0.042873,0.040407,0.040994,0.038654,1,0.215063,0.216057,0.216014,0.216504,0.7923,
0.16412,0.16668,0.1683,0.17024,0.046119,0.042368,0.04308,0.040838,1,0.210239,0.209048,0.21138,0.211078,0.82268,
0.15594,0.15891,0.16072,0.1636,0.046536,0.0433,0.044591,0.04227,1,0.202476,0.20221,0.205311,0.20587,0.87008,
0.15021,0.15146,0.15343,0.15469,0.048672,0.04634,0.047235,0.044266,1,0.198882,0.1978,0.200665,0.198956,0.83932,
0.14266,0.14563,0.14654,0.1489,0.051059,0.047272,0.048779,0.045417,1,0.193719,0.192902,0.195319,0.194317,0.8882,
0.13574,0.13905,0.13906,0.14168,0.052363,0.049904,0.05144,0.047108,1,0.188103,0.188954,0.1905,0.188788,0.92538,
0.1313,0.13284,0.13411,0.13512,0.054805,0.051489,0.052836,0.049691,1,0.186105,0.184329,0.186946,0.184811,0.87284,
0.12426,0.12705,0.1279,0.12978,0.058384,0.05399,0.055825,0.052486,1,0.182644,0.18104,0.183725,0.182266,0.93759,
0.11928,0.12137,0.12165,0.12405,0.059439,0.055984,0.057631,0.054294,1,0.178719,0.177354,0.179281,0.178344,0.92591,
0.11345,0.11599,0.11658,0.11918,0.062186,0.058845,0.060193,0.056337,1,0.175636,0.174835,0.176773,0.175517,0.96218,
0.10784,0.11109,0.11254,0.11438,0.065655,0.061901,0.063593,0.059108,1,0.173495,0.172991,0.176133,0.173488,1,
0.10369,0.1052,0.10595,0.10729,0.067347,0.062539,0.064299,0.060188,1,0.171037,0.167739,0.170249,0.167478,0.97906,
0.099544,0.10012,0.10217,0.10351,0.068929,0.065955,0.067568,0.062842,1,0.168473,0.166075,0.169738,0.166352,0.96632,
0.095173,0.097469,0.098235,0.099171,0.072564,0.068668,0.069982,0.066764,1,0.167737,0.166137,0.168217,0.165935,0.97326,
0.09118,0.091939,0.093181,0.095577,0.075117,0.070826,0.073021,0.06923,1,0.166297,0.162765,0.166202,0.164807,0.96983,
0.087841,0.088665,0.090414,0.091864,0.078308,0.074978,0.075747,0.072165,1,0.166149,0.163643,0.166161,0.164029,0.94023,
0.084313,0.084526,0.086374,0.087164,0.081,0.077838,0.07803,0.074302,1,0.165313,0.162364,0.164404,0.161466,0.92793,
0.079924,0.080998,0.081716,0.083383,0.083553,0.078885,0.08143,0.076979,1,0.163477,0.159883,0.163146,0.160362,0.9713,
0.076327,0.076859,0.078811,0.079636,0.086134,0.082889,0.084402,0.079515,1,0.162461,0.159748,0.163213,0.159151,0.97988,
0.072799,0.074858,0.076095,0.076349,0.088603,0.085603,0.088147,0.083155,1,0.161402,0.160461,0.164242,0.159504,0.99295,
0.070218,0.07138,0.072658,0.072824,0.092877,0.088414,0.091809,0.086161,1,0.163095,0.159794,0.164467,0.158985,0.95707,
0.067481,0.068547,0.06934,0.070048,0.096762,0.091553,0.095176,0.088369,1,0.164243,0.1601,0.164516,0.158417,0.93687,
0.064607,0.066325,0.067123,0.068719,0.10092,0.096718,0.098231,0.094005,1,0.165527,0.163043,0.165354,0.162724,0.93195,
0.062731,0.063458,0.063719,0.065364,0.10439,0.099987,0.10225,0.096541,1,0.167121,0.163445,0.165969,0.161905,0.86996,
0.059857,0.06066,0.061175,0.061618,0.10639,0.10242,0.10574,0.098983,1,0.166247,0.16308,0.166915,0.160601,0.8778,
0.057775,0.057827,0.059078,0.058995,0.11133,0.10656,0.1097,0.1038,1,0.169105,0.164387,0.168778,0.162795,0.8401,
0.054384,0.055672,0.056294,0.056389,0.11555,0.11151,0.11357,0.10608,1,0.169934,0.167182,0.169864,0.162469,0.89734,
0.052336,0.052449,0.053372,0.053324,0.11766,0.11463,0.11694,0.11145,1,0.169996,0.167079,0.170312,0.164774,0.86946,
0.049824,0.049939,0.050759,0.051433,0.12115,0.11815,0.12007,0.11411,1,0.170974,0.168089,0.170829,0.165543,0.88065,
0.047879,0.047971,0.049006,0.049219,0.12645,0.12266,0.12502,0.1177,1,0.174329,0.170631,0.174026,0.166919,0.85679,
