pixel#,intensity1,intensity2,iii,aaa,absorption1,absorption2
73,0.051517817,0.121477629,0.172995446,1.04809647,0.975132825,0.072963645
74,0.049775107,0.128034821,0.177809928,0.984797301,0.905755168,0.079042133
75,0.046538647,0.131454736,0.177993382,0.998133106,0.94274451,0.055388596
76,0.045194271,0.137164015,0.182358285,1.027342003,0.903265681,0.124076322
77,0.043152811,0.144597383,0.187750194,0.931506121,0.89667918,0.034826941
78,0.040679823,0.150278398,0.190958221,0.906689196,0.845206682,0.061482514
79,0.039318849,0.155337611,0.19465646,0.952129229,0.870861378,0.081267851
80,0.036480722,0.160764252,0.197244974,0.936818585,0.859617384,0.077201201
81,0.036331347,0.16864984,0.204981188,0.950260159,0.849054352,0.101205807
82,0.033028497,0.17376558,0.206794078,0.91856284,0.858638173,0.059924667
83,0.03223183,0.180718465,0.212950295,0.900831241,0.795950357,0.104880883
84,0.030638496,0.190130296,0.220768792,0.834741457,0.732391137,0.10235032
85,0.029626064,0.197281027,0.226907091,0.825326165,0.74217439,0.083151775
86,0.027833563,0.203583844,0.231417407,0.932175284,0.797750496,0.134424788
87,0.026505784,0.21039541,0.236901194,0.871047385,0.757950314,0.113097071
88,0.026389603,0.221503067,0.24789267,0.845211783,0.726193864,0.11901792
89,0.023916615,0.231367118,0.255283733,0.796676141,0.707937443,0.088738698
90,0.023634462,0.240976795,0.264611258,0.795926176,0.715831789,0.080094388
91,0.021858558,0.249936407,0.271794965,0.759498296,0.647265069,0.112233227
92,0.021045294,0.259998304,0.281043598,0.774191112,0.652950703,0.121240409
93,0.020580571,0.272575676,0.293156247,0.732106059,0.612987149,0.11911891
94,0.018406334,0.280856957,0.299263291,0.748548328,0.618125043,0.130423285
95,0.018090986,0.289194766,0.307285752,0.72866496,0.591576392,0.137088568
96,0.017211333,0.301574291,0.318785624,0.719561399,0.562370482,0.157190917
97,0.016165707,0.312286255,0.328451962,0.724307384,0.576466182,0.147841201
98,0.016099318,0.3248071,0.340906418,0.60735974,0.522317413,0.085042327
99,0.014771539,0.340210848,0.354982387,0.548670161,0.457227628,0.091442533
100,0.013709316,0.349735734,0.36344505,0.633037149,0.541594616,0.091442533
101,0.013593135,0.363895876,0.377489012,0.571605129,0.480162596,0.091442533
102,0.012564107,0.376755886,0.389319993,0.559350889,0.467908356,0.091442533
103,0.011784037,0.391255193,0.40303923,0.493531256,0.402088723,0.091442533
104,0.011385703,0.407195953,0.418581656,0.456297273,0.36485474,0.091442533
105,0.010738411,0.424210735,0.434949146,0.52088389,0.429441357,0.091442533
106,0.009991535,0.439727537,0.449719073,0.516515598,0.425073065,0.091442533
107,0.009642993,0.456035725,0.465678719,0.428300634,0.336858101,0.091442533
108,0.00984216,0.47720528,0.48704744,0.405320014,0.313877481,0.091442533
109,0.008414798,0.491987225,0.500402023,0.408739393,0.31729686,0.091442533
110,0.007634728,0.511347899,0.518982627,0.39262797,0.301185437,0.091442533
111,0.007053825,0.531132529,0.538186354,0.328570674,0.237128141,0.091442533
112,0.007651325,0.553432633,0.561083959,0.329635421,0.238192888,0.091442533
113,0.006389935,0.574884825,0.581274761,0.313959904,0.222517371,0.091442533
