690i,750i,800i,850i,690ii,750ii,800ii,850ii,label,d690,d750,d800,d850,ai690,si690
0.021859,0.020891,0.021731,0.021251,0.24994,0.25273,0.25245,0.24373,1,-0.012231,-0.011733,-0.007877,-0.011097,0.87799,
0.021045,0.020054,0.020424,0.020672,0.26,0.26166,0.26091,0.25351,1,-0.0114,-0.01147,-0.00995,-0.010362,0.83644,
0.020581,0.0193,0.020407,0.019123,0.27258,0.27454,0.27308,0.26608,1,-0.007538,-0.009047,-0.005931,-0.008615,0.75546,
0.018406,0.018102,0.018319,0.01788,0.28086,0.28331,0.28257,0.27412,1,-0.007538,-0.007078,-0.005911,-0.00622,0.89304,
0.018091,0.01779,0.017725,0.01725,0.28919,0.29578,0.29434,0.2855,1,-0.010844,-0.005251,-0.00534,-0.008285,0.7983,
0.017211,0.016575,0.016146,0.016279,0.30157,0.30569,0.30599,0.29745,1,-0.005085,-0.005244,-0.003216,-0.005233,0.78015,
0.016166,0.015541,0.016078,0.016381,0.31229,0.31744,0.31706,0.30709,1,-0.009434,-0.005297,-0.002585,-0.005662,0.78825,
0.016099,0.014704,0.014567,0.014985,0.32481,0.33199,0.33155,0.32398,1,-0.008188,-0.004418,-0.000799,-0.005431,0.66774,
0.014772,0.014032,0.014906,0.014457,0.34021,0.34492,0.34423,0.33608,1,-0.007179,-0.004409,0.000126,-0.004583,0.72117,
0.013709,0.013227,0.012869,0.012635,0.34974,0.35644,0.35541,0.34572,1,-0.003931,-0.002342,0.000943,-0.001771,0.74433,
0.013593,0.012834,0.012801,0.012601,0.3639,0.3689,0.36953,0.35891,1,-0.000321,-0.000174,0.0027,-0.00038,0.63603,
0.012564,0.01221,0.011715,0.011494,0.37676,0.38314,0.38297,0.37164,1,0.001377,0.003242,0.004236,0.000295,0.6613,
0.011784,0.011225,0.011901,0.010915,0.39126,0.39885,0.39708,0.38869,1,-0.001119,0.000934,0.00415,-0.000966,0.65479,
0.011386,0.0097811,0.011732,0.010881,0.4072,0.41451,0.41173,0.40289,1,0.003361,0.0017481,0.004623,0.001302,0.59435,
0.010738,0.0097483,0.0097282,0.0099275,0.42421,0.42843,0.43009,0.42009,1,0.002487,0.0028763,0.0063172,0.0023865,0.57393,
0.0099915,0.0097647,0.0089642,0.0086844,0.43973,0.44477,0.44545,0.437,1,0.0045045,0.0052497,0.0082882,0.0028484,0.57208,
0.009643,0.0093544,0.0092358,0.0089398,0.45604,0.46509,0.46305,0.45695,1,0.003635,0.0022954,0.0085308,0.0052148,0.51125,
0.0098422,0.0090754,0.0087944,0.0088036,0.47721,0.48347,0.48139,0.47432,1,0.0072092,0.0056864,0.0095914,0.0050106,0.36834,
0.0084148,0.0082548,0.0073174,0.0077649,0.49199,0.50115,0.49916,0.49227,1,0.0021598,0.0027768,0.0073014,0.0029889,0.48067,
0.0076347,0.0075327,0.007623,0.0067262,0.51135,0.52096,0.51956,0.51085,1,0.0052137,0.0055037,0.008862,0.0023852,0.49742,
0.0070538,0.0064988,0.0067062,0.0063515,0.53113,0.54092,0.54007,0.53213,1,0.0045198,0.0024868,0.0090845,0.0034798,0.48483,
0.0076513,0.0065481,0.0069608,0.0064367,0.55343,0.5615,0.56006,0.55309,1,0.0109095,0.0048608,0.0129496,0.0073455,0.27927,
0.0063899,0.0062691,0.0067741,0.0061131,0.57488,0.5841,0.58417,0.57413,1,0.0077445,0.0072228,0.0136251,0.0066841,0.38263,
0.0054937,0.0056619,0.005348,0.004819,0.59642,0.60471,0.60244,0.5936,1,0.0094058,0.0058585,0.0113674,0.0051184,0.43303,
0.0052447,0.0048577,0.0048386,0.0044784,0.61827,0.62824,0.62642,0.61989,1,0.0109159,0.0069727,0.0138175,0.0027073,0.37275,
0.0055933,0.0050218,0.0051612,0.0044784,0.64325,0.6527,0.65173,0.64317,1,0.011056,0.0062093,0.0141724,0.0046396,0.2103,
0.004531,0.0045623,0.0036502,0.0034738,0.66816,0.67837,0.67245,0.66989,1,0.0123321,0.0076313,0.0118184,0.004742,0.29657,
0.0043485,0.0037089,0.003786,0.0034567,0.69176,0.70549,0.69846,0.6967,1,0.0103028,0.0071283,0.0109747,0.0074154,0.23001,
0.0036016,0.0034464,0.0035144,0.0033205,0.71846,0.72852,0.72429,0.7226,1,0.012075,0.0043663,0.0124936,0.0067397,0.26847,
0.003502,0.0026586,0.0028353,0.0023158,0.74698,0.75803,0.75447,0.75045,1,0.0091255,0.0049005,0.0132358,0.0025763,0.18984,
0.0031701,0.0027899,0.0024618,0.001839,0.77638,0.78752,0.78207,0.77856,1,0.0073986,0.0090197,0.013721,0.0029882,0.15612,
0.0029377,0.0037582,0.0027674,0.0019923,0.80577,0.81715,0.81128,0.81192,1,0.0101767,0.0081479,0.0140549,0.0030198,0.10562,
0.0024896,0.0024781,0.0020543,0.0010728,0.83918,0.85024,0.84065,0.84301,1,0.0103434,0.0114063,0.0160954,0.0010739,0.097508,
0.0017759,0.0021827,0.0021392,0.0019072,0.87199,0.87744,0.8732,0.87574,1,0.0144467,0.0088269,0.0164486,0.0044166,0.14396,
0.0019751,0.0021991,0.0014261,0.0011409,0.90099,0.90814,0.90446,0.9056,1,0.0103772,0.0073598,0.0152899,0.0037947,0.014495,
0.0013278,0.0012473,0.0011375,0.0001192,0.93333,0.93645,0.93713,0.93488,1,0.00987133,0.00950136,0.01706482,0.00142652,0.051908,
0.0011452,0.001395,0.00035653,0,0.97162,0.96825,0.9687,0.96952,1,0.00990873,0.009645,0.0124208,0.00408427,0,
0,0,0,0.00020434,1,1,1,1,1,0,-8.25E-05,0,0.00020434,0.14939,
1,1,1,1,0,0,0,0,1,0,0,0,0,0.57264,
0.96067,0.96504,0.9627,0.9671,0.0020812,0.0017817,0.001396,0.00082192,1,-0.0050977,0.00482747,0.0053817,0.00903822,0.59407,
0.92627,0.9352,0.92719,0.93475,0.0020257,0.0026317,0.0019709,0.00096283,1,-0.00421447,0.0050271,0.0057582,0.01163473,0.58422,
0.8907,0.90146,0.8924,0.90301,0.0035242,0.0022884,0.0026607,0.0026536,1,-0.00741632,0.0025278,-0.0007248,0.0106558,0.57186,
0.85538,0.86511,0.85936,0.86612,0.0036074,0.003122,0.0032355,0.0022075,1,-0.0092774,-0.0021491,-0.0001707,0.0058621,0.61751,
0.82036,0.82951,0.8244,0.83323,0.0035242,0.0032691,0.0031534,0.0032172,1,-0.0169076,-0.0069997,-0.0051337,0.0040098,0.64482,
0.78695,0.7978,0.79143,0.79944,0.0048561,0.0046258,0.0039582,0.0030998,1,-0.0175056,-0.0068549,-0.0076649,0.0008185,0.63689,
0.7552,0.76406,0.75678,0.76698,0.0046064,0.003547,0.0045001,0.0033816,1,-0.0209232,-0.0134779,-0.0127394,-0.0043466,0.55503,
0.72228,0.73188,0.72958,0.73509,0.0056886,0.004822,0.0051735,0.004955,1,-0.0245836,-0.0160162,-0.0130863,-0.0078403,0.62427,
0.69237,0.70344,0.69866,0.70629,0.0067153,0.0058681,0.0059126,0.0055421,1,-0.0250917,-0.0170724,-0.0165686,-0.0080734,0.56321,
0.66507,0.67504,0.66999,0.67836,0.0065488,0.0056393,0.0060933,0.0054717,1,-0.0308675,-0.018392,-0.0188841,-0.0120394,0.59868,
0.63607,0.64435,0.64137,0.64777,0.0070761,0.005721,0.0068159,0.0048141,1,-0.0321938,-0.0240041,-0.02158,-0.016465,0.56808,
0.60768,0.61677,0.61555,0.62081,0.0073536,0.0077806,0.0072101,0.0068337,1,-0.0361986,-0.0238985,-0.0230514,-0.0182463,0.66165,
0.5825,0.59065,0.5885,0.59405,0.0088798,0.0076335,0.0083105,0.007139,1,-0.0357489,-0.0289371,-0.0259137,-0.0217711,0.61663,
0.55806,0.56709,0.56505,0.57338,0.010045,0.0091863,0.008836,0.0081253,1,-0.0367879,-0.0260065,-0.0259654,-0.0166092,0.61701,
0.53314,0.54219,0.53978,0.54666,0.011127,0.010069,0.010347,0.0094169,1,-0.0407424,-0.0295678,-0.030669,-0.0250591,0.60901,
0.51312,0.52054,0.51854,0.52244,0.01146,0.010527,0.011316,0.01038,1,-0.04058,-0.031888,-0.029814,-0.025715,0.64778,
0.48987,0.49798,0.49592,0.50251,0.01196,0.011344,0.011727,0.010356,1,-0.043621,-0.034262,-0.029637,-0.025212,0.65086,
0.46919,0.47791,0.47452,0.48247,0.015012,0.013518,0.012893,0.012235,1,-0.044328,-0.036145,-0.032157,-0.025638,0.62888,
0.44796,0.45635,0.45394,0.46094,0.014069,0.013011,0.013008,0.012986,1,-0.045254,-0.035612,-0.036152,-0.027481,0.63551,
0.43115,0.43858,0.43674,0.44156,0.013986,0.01342,0.014125,0.012963,1,-0.047496,-0.035777,-0.033468,-0.02867,0.57888,
0.41065,0.41673,0.41463,0.41973,0.016233,0.01373,0.014962,0.013409,1,-0.049554,-0.040942,-0.037856,-0.034558,0.60905,
0.3926,0.4005,0.39727,0.403,0.01701,0.015757,0.01575,0.01456,1,-0.048657,-0.037777,-0.0391,-0.034075,0.61062,
0.37616,0.38067,0.37938,0.38604,0.016761,0.016509,0.015833,0.015405,1,-0.050867,-0.04082,-0.040631,-0.032457,0.5969,
0.35935,0.36394,0.36401,0.37013,0.020285,0.017948,0.018772,0.01712,1,-0.053642,-0.043983,-0.041054,-0.034809,0.60758,
0.34303,0.34988,0.34766,0.35605,0.020534,0.019026,0.018937,0.018176,1,-0.052676,-0.04082,-0.039587,-0.032118,0.62485,
