690,750,800,850,ua,690i,750i,800i,850i,uaa,690n,750n,800n,850n,690ni,750ni,800ni,850ni
3273,3086,3175,3132,0.8114,10047,16409,16199,11314,0.3339,4970,5767,5776,5098,13584,16848,17350,15010
3167,2996,3077,3034,0.8832,10365,16932,16793,11661,0.3656,4899,5564,5693,4995,13924,17404,17833,15331
3120,2947,3002,3002,0.8411,10723,17468,17294,12068,0.3745,4706,5542,5404,4859,14246,17867,18340,15870
3069,2878,2978,2888,0.7581,11145,18216,17989,12565,0.0715,4552,5472,5357,4820,14646,18430,18979,16293
2957,2824,2874,2834,0.9017,11457,18760,18568,12917,0.0715,4535,5292,5302,4768,15130,19029,19580,16912
2940,2807,2841,2799,0.8044,11754,19508,19264,13390,0.0715,4500,5221,5119,4616,15473,19462,20004,17382
2883,2729,2744,2738,0.7865,12188,20097,19947,13881,0.0715,4385,5087,5010,4485,16014,20106,20676,17874
2805,2651,2725,2729,0.7958,12552,20785,20585,14265,0.0715,4295,4986,5061,4485,16550,20759,21333,18539
2825,2624,2660,2671,0.6717,13019,21680,21464,14988,0.0715,4191,4901,4932,4324,16936,21466,21910,19202
2738,2576,2673,2633,0.728,13557,22447,22205,15482,0.0715,4172,4776,4820,4381,17546,22189,22638,19747
2696,2549,2575,2548,0.7529,13916,23158,22886,15903,0.0715,4129,4802,4715,4265,17961,22796,23430,20367
2648,2484,2530,2505,0.6415,14376,23863,23678,16408,0.0715,4095,4699,4664,4135,18643,23521,24157,20955
2614,2474,2494,2468,0.6685,14859,24743,24499,16963,0.0715,3938,4518,4590,4102,19166,24284,24829,21717
2555,2402,2493,2422,0.6626,15360,25671,25319,17657,0.0715,3874,4399,4447,4063,19750,25064,25771,22471
2533,2316,2485,2422,0.6007,15926,26610,26185,18247,0.0715,3860,4380,4403,3938,20523,25859,26554,23284
2491,2311,2364,2363,0.5804,16525,27440,27265,18956,0.0715,3897,4325,4301,3981,21113,26696,27532,23906
2474,2340,2347,2318,0.5792,17102,28446,28199,19684,0.0715,3658,4306,4191,3797,21872,27564,28365,24814
2413,2275,2323,2293,0.5169,17639,29622,29197,20470,0.0715,3643,4187,4137,3779,22571,28583,29550,25689
2411,2244,2283,2271,0.3694,18374,30708,30265,21175,0.0715,3653,4134,4171,3743,23323,29513,30633,26556
2364,2233,2235,2249,0.4867,18936,31805,31352,21957,0.0715,3510,4132,4093,3714,24172,30640,31505,27500
2301,2173,2237,2172,0.5049,19605,32974,32539,22710,0.0715,3505,4020,4033,3624,25062,31647,32694,28447
2294,2138,2211,2178,0.4926,20333,34197,33777,23619,0.0715,3472,3918,4015,3582,25987,32511,33802,29432
2308,2119,2204,2161,0.28,21100,35406,34934,24465,0.0715,3430,3824,3890,3529,26812,33484,35185,30459
2215,2085,2176,2125,0.388,21842,36742,36339,25319,0.0715,3424,3836,3872,3489,27727,34676,36130,31577
2208,2095,2139,2096,0.441,22651,38022,37464,26172,0.0715,3296,3679,3810,3465,28681,35876,37439,32600
2175,2028,2091,2058,0.3791,23406,39412,38860,27242,0.0715,3254,3745,3804,3423,29652,36855,38945,33742
2169,2011,2083,2031,0.2113,24263,40849,40326,28179,0.0715,3239,3624,3751,3339,30689,37986,40211,34991
2135,2013,2024,2002,0.3015,25174,42415,41578,29315,0.0715,3218,3640,3638,3325,31741,38712,41667,35979
2113,1950,2021,1990,0.2331,25998,44027,43101,30414,0.0715,3198,3524,3677,3200,32823,40483,43194,37439
2083,1949,2020,1997,0.2736,26958,45420,44640,31501,0.0715,3146,3565,3550,3219,33887,41987,44509,38900
2064,1888,1967,1925,0.1927,27954,47173,46407,32641,0.0715,3021,3447,3462,3213,34951,43314,46599,40364
2046,1898,1947,1899,0.1583,28996,48940,48037,33807,0.0715,3114,3460,3496,3953,36067,44789,47912,41826
2013,1938,1946,1889,0.1066,30017,50694,49741,35169,0.0715,3011,3407,3462,3128,37151,46374,49466,43503
2006,1880,1924,1855,0.0988,31219,52694,51493,36476,0.0715,3042,3332,3417,3153,38261,48017,51258,45256
1932,1831,1898,1873,0.1476,32349,54291,53382,37800,0.0715,2947,3314,3382,3100,39270,49665,53039,47077
1964,1852,1876,1848,0.0139,33395,56148,55246,39056,0.0715,2937,3284,3305,2996,40168,51219,54787,48793
1922,1791,1856,1785,0.0533,34536,57839,57170,40265,0.0715,2902,3200,3215,3014,41229,52986,56521,50531
1924,1813,1823,1791,0,35904,59755,59045,41712,0.0715,2934,3168,3284,3054,42345,54539,58164,52316
1864,1737,1811,1812,0.1556,36917,61664,60900,42983,0.0715,2819,3156,3118,2931,44023,56963,60602,55340
60084,60776,60080,60604,0.1023,1540,1883,1972,1621,0.6233,,,,,,,,
57757,58673,57868,58630,0.0788,1573,1950,2015,1614,0.2331,,,,,,,,
55771,56927,55815,56744,0.0437,1584,2015,2063,1633,0.3282,,,,,,,,
53691,54925,53778,54867,0.0235,1625,1981,2092,1692,0.1073,,,,,,,,
51637,52780,51854,52699,0.0113,1626,2030,2125,1671,0.1738,,,,,,,,
49609,50688,49827,50775,0.0067,1630,2046,2127,1721,0.275,,,,,,,,
47660,48811,47901,48783,0.0032,1670,2121,2168,1708,0.106,,,,,,,,
45848,46855,45918,46910,0,1694,2088,2234,1753,0.238,,,,,,,,
43911,44934,44312,45013,0.0105,1709,2142,2251,1796,0.1257,,,,,,,,
