ir690,ir750,ir800,ir850,ia,ia690,ia750,ia800,ia8500,tir690_ctr,tir690_left,tir690_right,iir690,iir750,iir800,iir850,iia,iia690,iia750,iia800,iia8500,tii690_ctr,tii690_left,tii690_right
4591,4490,4609,4635,0.86599,,,,,,,,6205,9630,9948,6845,0.29354,,,,,,,
4477,4365,4514,4491,0.84353,,,,,,,,6431,9894,10085,7048,0.22885,,,,,,,
4358,4280,4407,4439,0.87622,,,,,,,,6542,10202,10489,7183,0.35019,,,,,,,
4332,4160,4317,4327,0.81189,,,,,,,,6721,10504,10748,7426,0.37625,,,,,,,
4196,4059,4241,4216,0.838,,,,,,,,6947,10785,11038,7685,0.35957,,,,,,,
4166,4016,4094,4087,0.79963,,,,,,,,7067,11145,11412,7846,0.36601,,,,,,,
4015,3905,4035,3970,0.78922,,,,,,,,7342,11461,11718,8080,0.36601,,,,,,,
3971,3816,3936,3899,0.74155,,,,,,,,7508,11806,12018,8300,0.36601,,,,,,,
3881,3708,3819,3824,0.75833,,,,,,,,7716,12139,12378,8534,0.36601,,,,,,,
3788,3632,3769,3732,0.74454,,,,,,,,7929,12505,12750,8772,0.36601,,,,,,,
3710,3593,3658,3678,0.73148,,,,,,,,8116,12872,13141,9072,0.36601,,,,,,,
3611,3482,3601,3588,0.73517,,,,,,,,8417,13256,13536,9308,0.36601,,,,,,,
3576,3388,3559,3515,0.67966,,,,,,,,8576,13676,13922,9628,0.36601,,,,,,,
3586,3333,3448,3456,0.62417,,,,,,,,8870,14164,14415,9963,0.36601,,,,,,,
3454,3316,3397,3391,0.62837,,,,,,,,9124,14741,14865,10265,0.36601,,,,,,,
3368,3242,3318,3320,0.6697,,,,,,,,9336,15043,15283,10644,0.36601,,,,,,,
3312,3119,3260,3224,0.63393,,,,,,,,9645,15493,15782,10852,0.36601,,,,,,,
3246,3101,3204,3214,0.60498,,,,,,,,9908,16056,16255,11168,0.36601,,,,,,,
3190,3066,3195,3145,0.58708,,,,,,,,10275,16596,16750,11702,0.36601,,,,,,,
3125,2994,3099,3055,0.59015,,,,,,,,10621,17220,17386,12091,0.36601,,,,,,,
3115,2917,3064,3039,0.53272,,,,,,,,10889,17717,17849,12415,0.36601,,,,,,,
3073,2876,2998,2977,0.53424,,,,,,,,11240,18290,18382,12728,0.36601,,,,,,,
3006,2839,2955,2925,0.50002,,,,,,,,11569,18864,19100,13154,0.36601,,,,,,,
2969,2779,2837,2835,0.50127,,,,,,,,11943,19406,19641,13662,0.36601,,,,,,,
2931,2736,2851,2799,0.47792,,,,,,,,12317,20040,20283,14044,0.36601,,,,,,,
2892,2700,2760,2758,0.45274,,,,,,,,12670,20884,20955,14552,0.36601,,,,,,,
2814,2626,2730,2698,0.46113,,,,,,,,13099,21458,21647,15016,0.36601,,,,,,,
2785,2607,2761,2716,0.4171,,,,,,,,13685,22354,22531,15584,0.36601,,,,,,,
2791,2604,2714,2651,0.36529,,,,,,,,14144,23235,23329,16218,0.36601,,,,,,,
2682,2537,2627,2582,0.42727,,,,,,,,14495,23677,23894,16593,0.36601,,,,,,,
2679,2469,2601,2547,0.37837,,,,,,,,14951,24588,24811,17101,0.36601,,,,,,,
2638,2455,2560,2514,0.36704,,,,,,,,15373,25261,25664,17667,0.36601,,,,,,,
2628,2418,2511,2480,0.31569,,,,,,,,15896,26261,26461,18364,0.36601,,,,,,,
2599,2331,2490,2448,0.28614,,,,,,,,16499,27271,27345,19005,0.36601,,,,,,,
2513,2350,2438,2407,0.33238,,,,,,,,16999,28069,28306,19564,0.36601,,,,,,,
2496,2318,2449,2370,0.32732,,,,,,,,17628,29150,29382,20386,0.36601,,,,,,,
2481,2339,2382,2349,0.26035,,,,,,,,18278,30453,30388,21167,0.36601,,,,,,,
2444,2293,2369,2308,0.24192,,,,,,,,18844,31485,31425,21914,0.36601,,,,,,,
2417,2232,2349,2290,0.24288,,,,,,,,19474,32495,32480,22652,0.36601,,,,,,,
2357,2215,2311,2264,0.22965,,,,,,,,20188,33705,33619,23449,0.36601,,,,,,,
2366,2222,2279,2290,0.18188,,,,,,,,20967,34994,35041,24351,0.36601,,,,,,,
2329,2171,2260,2224,0.18133,,,,,,,,21576,36147,36032,25173,0.36601,,,,,,,
2300,2148,2217,2167,0.1688,,,,,,,,22365,37427,37396,25979,0.36601,,,,,,,
2258,2117,2176,2155,0.17538,,,,,,,,23048,38733,38812,27045,0.36601,,,,,,,
2227,2062,2172,2117,0.17253,,,,,,,,23857,40068,40092,27979,0.36601,,,,,,,
2182,2050,2135,2095,0.19446,,,,,,,,24798,41482,41484,28980,0.36601,,,,,,,
2180,2034,2112,2050,0.16681,,,,,,,,25656,42877,42903,30009,0.36601,,,,,,,
2142,2005,2113,2010,0.16686,,,,,,,,26464,44497,44486,31196,0.36601,,,,,,,
2175,1987,2075,2034,0.021856,,,,,,,,27449,46047,46019,32261,0.36601,,,,,,,
2107,1974,2037,2002,0.10261,,,,,,,,28476,47614,47625,33410,0.36601,,,,,,,
2081,1922,2040,1975,0.11336,,,,,,,,29329,49354,49357,34656,0.36601,,,,,,,
2056,1935,1990,1967,0.088635,,,,,,,,30415,51294,51042,36040,0.36601,,,,,,,
