690i,750i,800i,850i,690ii,750ii,800ii,850ii,label,ai690
0.13574,0.13905,0.13906,0.14168,0.052363,0.049904,0.05144,0.047108,1,0.92538
0.1313,0.13284,0.13411,0.13512,0.054805,0.051489,0.052836,0.049691,1,0.87284
0.12426,0.12705,0.1279,0.12978,0.058384,0.05399,0.055825,0.052486,1,0.93759
0.11928,0.12137,0.12165,0.12405,0.059439,0.055984,0.057631,0.054294,1,0.92591
0.11345,0.11599,0.11658,0.11918,0.062186,0.058845,0.060193,0.056337,1,0.96218
0.10784,0.11109,0.11254,0.11438,0.065655,0.061901,0.063593,0.059108,1,1
0.10369,0.1052,0.10595,0.10729,0.067347,0.062539,0.064299,0.060188,1,0.97906
0.099544,0.10012,0.10217,0.10351,0.068929,0.065955,0.067568,0.062842,1,0.96632
0.095173,0.097469,0.098235,0.099171,0.072564,0.068668,0.069982,0.066764,1,0.97326
0.09118,0.091939,0.093181,0.095577,0.075117,0.070826,0.073021,0.06923,1,0.96983
0.087841,0.088665,0.090414,0.091864,0.078308,0.074978,0.075747,0.072165,1,0.94023
0.084313,0.084526,0.086374,0.087164,0.081,0.077838,0.07803,0.074302,1,0.92793
0.079924,0.080998,0.081716,0.083383,0.083553,0.078885,0.08143,0.076979,1,0.9713
0.076327,0.076859,0.078811,0.079636,0.086134,0.082889,0.084402,0.079515,1,0.97988
0.072799,0.074858,0.076095,0.076349,0.088603,0.085603,0.088147,0.083155,1,0.99295
0.070218,0.07138,0.072658,0.072824,0.092877,0.088414,0.091809,0.086161,1,0.95707
0.067481,0.068547,0.06934,0.070048,0.096762,0.091553,0.095176,0.088369,1,0.93687
0.064607,0.066325,0.067123,0.068719,0.10092,0.096718,0.098231,0.094005,1,0.93195
0.062731,0.063458,0.063719,0.065364,0.10439,0.099987,0.10225,0.096541,1,0.86996
0.059857,0.06066,0.061175,0.061618,0.10639,0.10242,0.10574,0.098983,1,0.8778
0.057775,0.057827,0.059078,0.058995,0.11133,0.10656,0.1097,0.1038,1,0.8401
0.054384,0.055672,0.056294,0.056389,0.11555,0.11151,0.11357,0.10608,1,0.89734
0.052336,0.052449,0.053372,0.053324,0.11766,0.11463,0.11694,0.11145,1,0.86946
0.049824,0.049939,0.050759,0.051433,0.12115,0.11815,0.12007,0.11411,1,0.88065
0.047879,0.047971,0.049006,0.049219,0.12645,0.12266,0.12502,0.1177,1,0.85679
0.046209,0.046462,0.047768,0.048044,0.13148,0.12782,0.1322,0.12439,1,0.81756
0.044557,0.044646,0.046444,0.045898,0.13825,0.13243,0.13474,0.12958,1,0.78173
0.041786,0.042492,0.043883,0.044297,0.14016,0.13678,0.14069,0.13177,1,0.83826
0.04115,0.04027,0.042147,0.042202,0.14482,0.14154,0.14476,0.13721,1,0.73222
0.038671,0.038421,0.040703,0.040176,0.15087,0.146,0.14939,0.14311,1,0.75059
0.037587,0.037132,0.037609,0.037417,0.15329,0.15135,0.15499,0.14611,1,0.68837
0.035987,0.036233,0.037592,0.036412,0.16253,0.15746,0.16097,0.15297,1,0.67275
0.035178,0.034672,0.035839,0.035152,0.16705,0.16305,0.16585,0.15807,1,0.59498
0.033147,0.032365,0.033347,0.033397,0.17205,0.16803,0.1713,0.16291,1,0.62464
0.03177,0.031297,0.032711,0.032052,0.17832,0.17423,0.17762,0.1688,1,0.60331
0.030428,0.030635,0.030803,0.031132,0.18351,0.18023,0.18405,0.17584,1,0.58317
0.028827,0.028854,0.029926,0.029702,0.19202,0.1866,0.19063,0.18153,1,0.59095
0.028345,0.027378,0.029324,0.028578,0.19663,0.19358,0.19709,0.18921,1,0.62777
0.027898,0.025835,0.026798,0.02696,0.20379,0.20097,0.20459,0.19623,1,0.53419
0.0264,0.02631,0.026694,0.026619,0.21209,0.21114,0.21272,0.20438,1,0.54255
0.024318,0.024461,0.024735,0.024814,0.217,0.2155,0.21901,0.21246,1,0.6143
0.023612,0.022629,0.023996,0.023434,0.22599,0.2231,0.22745,0.21769,1,0.55435
0.022821,0.022663,0.023377,0.023605,0.23384,0.23263,0.23555,0.22558,1,0.50603
0.021874,0.022086,0.023239,0.022447,0.24405,0.24148,0.2437,0.23815,1,0.47657
0.020618,0.020729,0.021452,0.020778,0.25343,0.25154,0.25401,0.24709,1,0.48291
0.020377,0.019355,0.020781,0.020437,0.26076,0.2596,0.26155,0.25461,1,0.50927
0.019207,0.018218,0.0192,0.018938,0.26978,0.26854,0.26988,0.26135,1,0.51264
0.018639,0.018167,0.019045,0.018632,0.27985,0.27848,0.28223,0.27215,1,0.45352
0.017537,0.016692,0.016553,0.016639,0.28948,0.2869,0.29067,0.28345,1,0.45641
0.016849,0.015928,0.016759,0.015992,0.2998,0.29723,0.30118,0.29237,1,0.41627
0.016212,0.015351,0.015229,0.015328,0.30965,0.31106,0.31225,0.30435,1,0.37291
0.015093,0.014317,0.014937,0.014527,0.32192,0.32065,0.32383,0.31555,1,0.38826
0.014784,0.014181,0.015659,0.015021,0.33849,0.33548,0.33853,0.32915,1,0.31193
0.014611,0.013859,0.014576,0.013642,0.35078,0.34962,0.35137,0.34366,1,0.33993
0.012787,0.012773,0.013132,0.012518,0.3606,0.35689,0.3607,0.35254,1,0.45125
0.012598,0.011484,0.012548,0.011785,0.37303,0.37165,0.37563,0.36428,1,0.36401
0.011892,0.011246,0.011843,0.011223,0.38474,0.38265,0.38964,0.37757,1,0.34405
0.011772,0.01067,0.011052,0.010695,0.39934,0.39905,0.40278,0.39401,1,0.29938
0.011359,0.0092787,0.010777,0.010236,0.41621,0.41564,0.41738,0.40918,1,0.24616
0.0099131,0.009635,0.009918,0.0095713,0.43014,0.42872,0.4332,0.42235,1,0.32995
0.0092075,0.008685,0.0096946,0.0085325,0.44693,0.44599,0.45047,0.44109,1,0.34464
0.0093452,0.0094314,0.0089382,0.0085665,0.4656,0.46767,0.46737,0.45997,1,0.22311
0.0088461,0.0087868,0.0088523,0.0080045,0.48153,0.48467,0.48454,0.4777,1,0.18975
0.008106,0.0074807,0.0082335,0.0074254,0.49857,0.50092,0.5016,0.49466,1,0.19164
0.0075725,0.0076842,0.0080788,0.0074765,0.51919,0.52117,0.52078,0.51405,1,0.16773
0.0075037,0.0075824,0.0073053,0.0076979,0.54044,0.54202,0.54393,0.53493,1,0.2402
0.0068325,0.0066834,0.0069443,0.0065398,0.55729,0.56084,0.56017,0.55419,1,0.23888
0.0063334,0.0062933,0.0062052,0.0055691,0.57918,0.58176,0.58257,0.57312,1,0.21507
0.0056105,0.0057674,0.0055005,0.0053647,0.59814,0.60311,0.60583,0.59815,1,0.22717
0.0050254,0.0047836,0.0053801,0.0046665,0.6205,0.62488,0.6268,0.62001,1,0.22154
0.0041649,0.0044952,0.0046582,0.0042066,0.64647,0.64791,0.64958,0.6434,1,0.26247
0.0039067,0.0040033,0.0040394,0.0032188,0.66992,0.6705,0.67267,0.66726,1,0.21028
0.0033388,0.0035961,0.0041425,0.0026227,0.69248,0.69706,0.69875,0.69525,1,0.21011
