ir690,ia,ir6902,ia2,tir690_ctr,tir690_ctr2,tir690_left,tir690_right,iir690,iia,iir6902,iia2,tii690_ctr,tii690_ctr2,tii690_left,tii690_right
8885,0.95864,,,1932,1.89E-06,2004,2051,2549,0.26166,,,32349,8.23E-05,32723,29576
8529,0.97885,,,1964,1.95E-06,2002,2047,2560,0.3597,,,33395,8.59E-05,33796,30773
8199,1,,,1922,1.82E-06,1985,1972,2673,0.23658,,,34536,8.97E-05,34974,32109
7993,0.98604,,,1924,1.73E-06,1976,1953,2708,0.1404,,,35904,9.36E-05,36257,33510
7750,0.97701,,,1864,1.67E-06,1910,1902,2756,0.19883,,,36917,9.72E-05,37576,34747
7466,0.97977,,,,,,,2816,0.22418,,,,,,
7248,0.97634,,,,,,,2827,0.30101,,,,,,
7022,0.9573,,,,,,,3020,0,,,,,,
6832,0.94862,,,,,,,3001,0.23187,,,,,,
6590,0.97322,,,,,,,3062,0.21096,,,,,,
6386,0.97705,,,,,,,3153,0.10608,,,,,,
6182,0.98357,,,,,,,3188,0.20333,,,,,,
6020,0.96089,,,,,,,3267,0.18525,,,,,,
5865,0.94758,,,,,,,3353,0.15586,,,,,,
5675,0.94342,,,,,,,3385,0.20182,,,,,,
5557,0.9052,,,,,,,3491,0.17821,,,,,,
5410,0.9087,,,,,,,3589,0.091068,,,,,,
5282,0.88502,,,,,,,3657,0.16247,,,,,,
5094,0.91805,,,,,,,3739,0.13668,,,,,,
4998,0.90027,,,,,,,3860,0.076104,,,,,,
4862,0.90583,,,,,,,3956,0.12094,,,,,,
4747,0.89049,,,,,,,4011,0.17542,,,,,,
4591,0.86599,,,,,,,4112,0.12223,,,,,,
4477,0.84353,,,,,,,4218,0.13303,,,,,,
4358,0.87622,,,,,,,4301,0.11585,,,,,,
4332,0.81189,,,,,,,4413,0.12941,,,,,,
4196,0.838,,,,,,,4518,0.15447,,,,,,
4166,0.79963,,,,,,,4616,0.18264,,,,,,
4015,0.78922,,,,,,,4706,0.22061,,,,,,
3971,0.74155,,,,,,,4848,0.17835,,,,,,
3881,0.75833,,,,,,,4992,0.16149,,,,,,
3788,0.74454,,,,,,,5119,0.13898,,,,,,
3710,0.73148,,,,,,,5235,0.15307,,,,,,
3611,0.73517,,,,,,,5327,0.23529,,,,,,
3576,0.67966,,,,,,,5498,0.1974,,,,,,
3586,0.62417,,,,,,,5659,0.19697,,,,,,
3454,0.62837,,,,,,,5758,0.28789,,,,,,
3368,0.6697,,,,,,,5894,0.32734,,,,,,
3312,0.63393,,,,,,,6083,0.30107,,,,,,
3246,0.60498,,,,,,,6205,0.29354,,,,,,
3190,0.58708,,,,,,,6431,0.22885,,,,,,
3125,0.59015,,,,,,,6542,0.35019,,,,,,
3115,0.53272,,,,,,,6721,0.37625,,,,,,
3073,0.53424,,,,,,,6947,0.35957,,,,,,
3006,0.50002,,,,,,,3467,0.046654,,,,,,
2969,0.50127,,,,,,,3539,0.089867,,,,,,
2931,0.47792,,,,,,,3602,0.091184,,,,,,
2892,0.45274,,,,,,,3715,0.076231,,,,,,
2814,0.46113,,,,,,,3753,0.052305,,,,,,
2785,0.4171,,,,,,,3868,0.063256,,,,,,
2791,0.36529,,,,,,,3945,0.078319,,,,,,
2682,0.42727,,,,,,,4075,0.049506,,,,,,
2679,0.37837,,,,,,,4155,0.067276,,,,,,
2638,0.36704,,,,,,,4251,0.060031,,,,,,
2628,0.31569,,,,,,,4357,0.054062,,,,,,
2599,0.28614,,,,,,,4483,0.037012,,,,,,
2513,0.33238,,,,,,,4608,0.038412,,,,,,
2496,0.32732,,,,,,,4713,0.022307,,,,,,
2481,0.26035,,,,,,,4876,0.09371,,,,,,
2444,0.24192,,,,,,,5034,0.074048,,,,,,
2417,0.24288,,,,,,,5156,0.058692,,,,,,
2357,0.22965,,,,,,,5285,0.080584,,,,,,
2366,0.18188,,,,,,,5429,0.042259,,,,,,
2329,0.18133,,,,,,,5637,0.059757,,,,,,
2300,0.1688,,,,,,,5782,0.11814,,,,,,
