intensity,750,800,850,ua,left,right,ctr
1.28E-05,,,,0.00068967,,,
1.24E-05,,,,0.00064857,,,
1.21E-05,,,,0.00065118,,,
1.17E-05,,,,0.00066436,,,
1.13E-05,,,,0.00067871,,,
1.10E-05,,,,0.00067931,,,
1.06E-05,,,,0.00069423,,,
1.03E-05,,,,0.00070123,,,
1.00E-05,,,,0.00064635,,,
9.72E-06,,,,0.00065022,,,
9.42E-06,,,,0.00065947,,,
9.16E-06,,,,0.00066333,,,
8.78E-06,,,,0.00069344,,,
8.54E-06,,,,0.000696,,,
8.30E-06,,,,0.00069972,,,
8.02E-06,,,,0.00071463,,,
7.84E-06,,,,0.00065327,,,
7.58E-06,,,,0.00066635,,,
7.28E-06,,,,0.00069133,,,
7.07E-06,,,,0.00069879,,,
6.93E-06,,,,0.00068987,,,
6.60E-06,,,,0.00072721,,,
6.39E-06,,,,0.00068442,,,
6.23E-06,,,,0.00068363,,,
6.08E-06,,,,0.00068397,,,
6.04E-06,,,,0.00065525,,,
5.65E-06,,,,0.00071992,,,
5.54E-06,,,,0.00071281,,,
5.28E-06,,,,0.00074774,,,
5.16E-06,,,,0.00074544,,,
5.02E-06,,,,0.00074938,,,
4.86E-06,,,,0.00065912,,,
4.69E-06,,,,0.00067276,,,
4.55E-06,,,,0.0006812,,,
4.49E-06,,,,0.00066756,,,
4.21E-06,,,,0.0007234,,,
4.17E-06,,,,0.00070156,,,
4.01E-06,,,,0.00072224,,,
3.85E-06,,,,0.00074446,,,
3.76E-06,,,,0.00074499,,,
3.58E-06,,,,0.0007787,,,
3.51E-06,,,,0.00077304,,,
3.45E-06,,,,0.00076277,,,
3.23E-06,,,,0.00081928,,,
3.16E-06,,,,0.000818,,,
3.12E-06,,,,0.00079983,,,
2.96E-06,,,,0.00083794,,,
2.98E-06,,,,0.00080167,,,
2.85E-06,,,,0.00082538,,,
2.80E-06,,,,0.00082052,,,
2.60E-06,,,,0.00088275,,,
2.57E-06,,,,0.00087043,,,
2.44E-06,,,,0.00090378,,,
2.39E-06,,,,0.00079664,,,
2.19E-06,,,,0.00087426,,,
2.27E-06,,,,0.00080614,,,
2.18E-06,,,,0.00082298,,,
2.05E-06,,,,0.00087131,,,
1.97E-06,,,,0.00088878,,,
1.89E-06,,,,0.00091022,,,
1.95E-06,,,,0.00084778,,,
1.82E-06,,,,0.0008948,,,
1.73E-06,,,,0.00092701,,,
1.67E-06,,,,0.00094638,,,
