
Experiment data,16-07-2019,11:10:39

Collected Light Intensity
Intensity:,234,216,192,255,255,214,192,255,
Integration time: ,12381
Wavelength,i690,i750,i800,i850,ii690,ii750,ii800,ii850,Ambient
 ,8374,8380,8050,7303,10549,13632,13123,10503,5360,
 ,8267,8251,7978,7192,10810,13897,13426,10659,5329,
 ,8225,8205,7915,7128,10994,14178,13626,10948,5321,
 ,8089,8067,7856,7106,11237,14651,13967,11180,5310,
 ,7978,7931,7734,7007,11447,14886,14259,11370,5361,
 ,7871,7817,7602,6892,11513,15108,14597,11629,5261,
 ,7722,7750,7509,6874,11719,15523,14906,11828,5241,
 ,7769,7729,7496,6817,12037,16003,15342,12149,5300,
 ,7644,7626,7436,6790,12379,16378,15705,12534,5298,
 ,7544,7498,7328,6693,12475,16694,16164,12727,5225,
 ,7451,7369,7206,6620,12698,17153,16447,13000,5269,
 ,7375,7406,7114,6562,13002,17708,17021,13390,5253,
 ,7317,7267,7067,6503,13244,17996,17360,13657,5249,
 ,7219,7238,6998,6395,13536,18576,17828,14057,5193,
 ,7162,7105,6947,6390,13878,19004,18324,14379,5175,
 ,7043,7007,6894,6336,14203,19550,18828,14803,5209,
 ,6995,7056,6840,6355,14602,20332,19492,15388,5238,
 ,6995,6958,6803,6359,15021,20892,20104,15821,5213,
 ,6852,6850,6692,6216,15242,21298,20648,16032,5188,
 ,6859,6782,6628,6113,15598,22041,21336,16575,5142,
 ,6719,6769,6569,6107,15976,22612,21908,17002,5176,
 ,6706,6707,6494,6057,16418,23379,22641,17601,5185,
 ,6603,6645,6534,6051,16862,24081,23257,18222,5147,
 ,6659,6601,6425,6017,17300,24736,24096,18790,5126,
 ,6534,6480,6370,5976,17745,25589,24902,19340,5199,
 ,6493,6520,6330,6009,18295,26556,25753,20145,5147,
 ,6504,6472,6342,5908,18853,27515,26625,20815,5109,
 ,6393,6400,6285,5916,19350,28412,27639,21683,5139,
 ,6323,6399,6205,5868,19936,29336,28590,22322,5119,
 ,6327,6348,6194,5872,20690,30386,29741,23257,5164,
 ,6240,6280,6179,5809,21242,31414,30636,24032,5112,
 ,6241,6222,6111,5771,21846,32473,31792,24943,5166,
 ,6185,6203,6071,5751,22541,33589,33153,25849,5111,
 ,6145,6143,6011,5671,23255,34837,34269,26792,5108,
 ,6090,6121,5993,5636,24041,36157,35692,27900,5098,
 ,6086,6052,5953,5646,24854,37632,37098,29134,5082,
 ,5974,6074,5888,5610,25779,38911,38629,30258,5072,
 ,5979,6056,5897,5627,26752,40447,40124,31468,5045,
 ,5951,5967,5840,5587,27671,42020,41876,32833,5051,
 ,5892,5923,5837,5554,28680,43610,43524,34165,5081,
 ,5889,5888,5797,5548,29803,45500,45315,35815,5002,
 ,5863,5922,5784,5538,30936,47441,47219,37387,5080,
 ,5894,5847,5727,5508,32184,49285,49313,38941,5059,
 ,5749,5795,5743,5453,33438,51135,51369,40554,5077,
 ,5766,5789,5708,5458,34606,52944,53518,42288,5094,
 ,5727,5779,5709,5457,35966,55028,55644,43945,5042,
 ,5714,5766,5703,5439,37181,57097,57865,45787,5072,
Auto Calibration: False
