O2Hb,HHB,THb,HB_diff,TSI
1.0965925,0.1933595,1.2898521,0.9032331,94.7737885
1.0796443,0.182308,1.2618524,0.8973363,94.7635422
1.0301763,0.1826582,1.2127345,0.8475181,94.9148483
0.9807083,0.1830083,1.1636167,0.7976999,94.8474045
0.939026,0.1721319,1.111058,0.7668941,94.8630753
0.9468118,0.1609054,1.1076171,0.7859064,94.7902069
1.1785804,0.1816078,1.3600881,0.9969726,94.7335815
1.2534708,0.1978348,1.4512056,1.0556359,94.7379761
1.2202626,0.1924842,1.4126468,1.0277785,94.8027573
1.1870545,0.1871335,1.374088,0.999921,94.8547363
1.1368982,0.1707314,1.3075294,0.9661668,94.9228745
1.078956,0.1655558,1.2444117,0.9134002,94.8591385
1.0203254,0.1436279,1.1638534,0.8766976,94.9191666
1.0281112,0.1324013,1.1604125,0.8957099,94.9575577
1.2683539,0.1586294,1.4268835,1.1097245,94.8046875
1.3262961,0.163805,1.4900012,1.1624911,94.8027573
1.2846138,0.1529286,1.4374425,1.1316853,94.8630753
1.2591915,0.1363514,1.395443,1.12284,94.8843613
1.2012494,0.1311758,1.3323252,1.0700735,94.8630753
1.1426188,0.109248,1.2517668,1.0333709,94.9228745
1.0839883,0.0873201,1.1712084,0.9966682,94.9979706
1.1666645,0.0923206,1.2588851,1.0743439,94.8818817
1.3736991,0.113198,1.4867971,1.260501,94.8144989
1.389959,0.1074972,1.4973562,1.2824618,94.8704681
1.3482767,0.0966208,1.4447975,1.2516559,94.9303131
1.3150686,0.0912702,1.4062388,1.2237984,94.9347153
1.2726979,0.0636415,1.3362395,1.2090565,94.9442062
1.2147558,0.0584659,1.2731217,1.1562899,94.8944321
1.1561253,0.036538,1.1925633,1.1195873,94.8975677
1.2635355,0.0413635,1.304799,1.222172,94.913414
1.437362,0.0568902,1.4941522,1.3804717,94.8704681
1.4451478,0.0456637,1.4907113,1.399484,94.8593674
1.4034654,0.0347873,1.4381527,1.3686781,94.9303131
1.3702573,0.0294366,1.3995939,1.3408207,94.9145355
1.3123151,0.024261,1.3364762,1.2880541,94.9347153
1.2536846,0.0023332,1.2559178,1.2513515,94.9896393
1.2197882,-0.0197698,1.1999184,1.239558,94.9386444
1.3936146,-0.004243,1.3892716,1.3978577,94.8808441
1.5179731,0.0116339,1.5295069,1.5063391,94.8650589
1.5003364,-0.0161699,1.4840666,1.5165063,94.8750992
1.4756024,-0.0159948,1.4595076,1.4915972,94.8182755
1.4339201,-0.0268712,1.4069489,1.4607913,94.8650589
1.3675039,-0.0375725,1.3298314,1.4050764,94.9347153
1.3336074,-0.0596755,1.273832,1.3932829,94.8591385
1.3668156,-0.0543248,1.3123907,1.4211403,94.798584
1.565376,-0.0389731,1.5263029,1.6043491,94.8042755
1.6063699,-0.044849,1.5614209,1.6512189,94.7941055
1.5809475,-0.0614262,1.5194213,1.6423737,94.7277451
1.5555252,-0.0780034,1.4774218,1.6335286,94.8786469
1.4891089,-0.0887047,1.4003042,1.5778136,94.9347153
1.4304783,-0.1106326,1.3197458,1.541111,94.9189377
