O2Hb1,HHB1,TSI1,TSIFT1,O2Hb2,HHB2,TSI2,TSIFT2
-1.1734586,-0.2438318,72.8405609,99.9630966,0.1118749,-0.0562626,73.7017517,99.7547073
-1.5738968,-0.2997839,72.8971558,99.964653,-0.3230287,-0.133003,73.6670303,99.7598572
-1.9571021,-0.345342,72.948494,99.9661484,-1.024891,-0.247045,73.7246399,99.7685242
-0.3703911,-0.0996762,72.9540405,99.9599533,-1.5287256,-0.365362,73.6435471,99.775322
1.1151148,0.115876,72.9460144,99.9524765,-2.0131361,-0.4410337,73.6520844,99.7851639
0.6651697,0.0609926,72.9513626,99.9532318,-2.5664778,-0.558282,73.6634903,99.7930908
0.0967868,-0.0343986,72.9567184,99.9575272,-3.0013814,-0.6350224,73.6256027,99.7995377
-0.3876238,-0.1100703,72.9647751,99.9592209,-1.0916307,-0.2563703,73.8197021,99.7897415
-1.0055138,-0.2043927,72.9755402,99.9625015,0.2970525,-0.0064294,73.6471863,99.7735825
-1.4899243,-0.2800645,72.9836349,99.9640808,0.1118749,-0.0562626,73.5859756,99.7595367
-1.8903624,-0.3360167,72.991745,99.9655609,-0.1723166,-0.1039582,73.629364,99.7566986
-1.8408555,-0.3370854,73.0267639,99.9659653,-0.6739599,-0.190024,73.6435471,99.761795
0.4304852,0.0122282,72.9433441,99.9558182,-1.3112738,-0.3269918,73.5650177,99.77034
1.2830597,0.155315,72.9835587,99.9510345,-1.7956843,-0.4026635,73.6142349,99.7801208
0.5811973,0.0412731,72.9433441,99.9543762,-2.2628622,-0.467941,73.6663513,99.7878342
0.0472798,-0.0333298,72.9970016,99.957222,-2.7666967,-0.5862581,73.6369934,99.7952805
-0.4715962,-0.1297898,73.0561905,99.9606094,-2.8162036,-0.5851893,73.6634903,99.7984543
-1.1217604,-0.2126493,73.0186234,99.9625092,-0.7385083,-0.1670982,73.7392273,99.7840195
-1.556664,-0.2893898,73.0267639,99.9647293,-0.1055769,-0.0946328,73.5831604,99.7721405
-2.006609,-0.3442732,73.0349274,99.9661865,-0.5404805,-0.1713733,73.5565796,99.7638016
-1.7741158,-0.32776,72.9728394,99.9653778,-0.7406996,-0.1993494,73.6029053,99.7641296
0.59843,0.0516672,73.0263748,99.9562378,-1.3435481,-0.3155288,73.5734787,99.7704849
1.4165391,0.1739658,73.0155945,99.9511414,-1.9463965,-0.4317083,73.5410919,99.7785492
0.6651697,0.0609926,73.0718384,99.9551773,-2.3813002,-0.5084488,73.5467224,99.7867661
0.1140195,-0.0240045,73.0745544,99.9583664,-2.8334365,-0.5955834,73.555191,99.7950058
-0.4371307,-0.1090015,73.0881729,99.9606857,-3.3523126,-0.6920434,73.5226364,99.8020477
-1.0872949,-0.1918611,73.1447067,99.9635773,-1.6255482,-0.3309733,73.7189026,99.7922668
-1.5544727,-0.2571386,73.152977,99.9657288,-0.0043717,-0.0645192,73.6237106,99.7754974
-1.9893763,-0.3338791,73.1155701,99.9674911,-0.1055769,-0.0946328,73.4722595,99.7595367
-1.9054039,-0.3141596,73.1985931,99.967865,-0.4048099,-0.1204714,73.5622025,99.7578278
0.398211,0.0236911,73.1516647,99.9588013,-0.8397135,-0.1972118,73.5706558,99.7622986
1.2830597,0.155315,73.095459,99.9542084,-1.4770274,-0.3341796,73.4973602,99.7700119
0.5489231,0.052736,73.1036224,99.9574127,-2.0109448,-0.4087825,73.5932846,99.7780533
-0.0345014,-0.0207982,73.2024689,99.9604874,-2.4135742,-0.4969859,73.5523682,99.7866135
-0.5533774,-0.1172581,73.1681595,99.9627228,-2.900176,-0.6049088,73.4759293,99.7936554
-1.1712673,-0.2115806,73.0854416,99.9654922,-2.6633003,-0.5238932,73.6720734,99.793869
-1.6707194,-0.2653952,73.1902695,99.9675751,-0.2540977,-0.0914265,73.6152344,99.7767792
-2.105623,-0.3421357,73.1502151,99.9689484,0.4994628,0.0537979,73.4583817,99.7580795
-2.2886093,-0.3597177,73.2413788,99.9695663,0.0968334,-0.0344055,73.5186386,99.7473907
-0.150748,-0.0290548,73.2366409,99.9621887,-0.1528926,-0.0613128,73.5242386,99.7487259
1.0677991,0.149196,73.1352463,99.9560776,-0.805248,-0.1764235,73.581955,99.7590942
0.4994161,0.0538048,73.1886749,99.9588547,-1.4080964,-0.292603,73.5439072,99.7675323
-0.0840083,-0.0197294,73.2421951,99.9621658,-1.8752743,-0.3578806,73.5961227,99.7754898
-0.5533774,-0.1172581,73.1598969,99.9643707,-2.3296018,-0.4772664,73.4731293,99.783165
-1.218583,-0.1782606,73.2644806,99.966423,-2.8635194,-0.5518693,73.5282745,99.7911682
-1.687952,-0.2757894,73.2274323,99.9682388,-1.2551931,-0.231307,73.6869812,99.7824402
-2.0883901,-0.3317416,73.1902695,99.9692764,0.3014351,0.0580729,73.629364,99.7661133
-2.4715955,-0.3772996,73.2413788,99.9706726,0.1657644,0.007171,73.4778214,99.7506027
-0.7514052,-0.1129831,73.2901993,99.9653549,-0.0839616,-0.0197363,73.5186386,99.748909
0.8353059,0.1326828,73.2734604,99.9582138,-0.4693583,-0.0975455,73.5298462,99.7537689
0.5338816,0.074593,73.2338715,99.9598923,-1.0894395,-0.2241192,73.453598,99.7606125
-0.1335153,-0.0186606,73.2366409,99.9621887,-1.5393846,-0.2790026,73.5932846,99.7702942
-0.5684189,-0.0954011,73.2477493,99.9647064,-1.892507,-0.3682747,73.5523682,99.7769089
-1.2035415,-0.2001177,73.2107697,99.966507,-2.4113832,-0.4647347,73.5198212,99.7869415
-1.7202263,-0.2643265,73.2700729,99.9687958,-1.3864812,-0.2177065,73.7332535,99.779274
-2.1206644,-0.3202786,73.230217,99.9696045,0.3359005,0.0788612,73.5803528,99.7633362
-2.4888284,-0.3876938,73.2385864,99.9710007,0.2346954,0.0487476,73.4722595,99.7507858
-1.018364,-0.1502845,73.3353882,99.9674606,-0.0172219,-0.0104109,73.5158386,99.7493973
0.8525386,0.1430769,73.2651215,99.9586029,-0.4004273,-0.055969,73.5706558,99.7535782
0.8008404,0.1118945,73.2228088,99.9585724,-1.0700154,-0.1814738,73.5847855,99.7615738
0.0667038,0.0093155,73.3213501,99.9622498,-1.5544261,-0.2571455,73.63414,99.7701111
-0.350967,-0.0570309,73.239418,99.96315,-1.9225899,-0.3245606,73.5932846,99.7773895
-0.968857,-0.1513533,73.2533188,99.9659195,-2.4586987,-0.4314148,73.5608444,99.7853546
-1.5200073,-0.2363504,73.2616806,99.9679871,-1.1690294,-0.1793363,73.7189026,99.7786331
-1.9204453,-0.2923025,73.2700729,99.9687958,0.7385299,0.1670646,73.6095963,99.7577133
-2.3553491,-0.369043,73.2330017,99.9704437,0.8397351,0.1971782,73.5887909,99.7421112
-1.7525005,-0.2528636,73.3918839,99.968895,0.5210781,0.1286944,73.5481567,99.7370529
0.5511144,0.0849872,73.2172852,99.9592896,0.1529142,0.0612793,73.5565796,99.7432251
0.9687852,0.1513335,73.2172852,99.9572144,-0.516674,-0.0642256,73.5678406,99.7518539
0.2346487,0.0487545,73.2762451,99.9605942,-1.0183172,-0.1502914,73.5734787,99.7597427
-0.150748,-0.0290548,73.1886749,99.9628525,-1.4037139,-0.2281007,73.5354614,99.7681732
-0.7341725,-0.1025889,73.2505341,99.965004,-1.9548641,-0.3130977,73.5932846,99.7767258
-1.3348297,-0.1865172,73.3070145,99.9670868,-1.1818795,-0.1252281,73.7246399,99.7693024
-1.7374591,-0.2747206,73.2218704,99.9688644,1.0766109,0.2781938,73.7306519,99.7541885
-2.2046368,-0.3399982,73.2330017,99.9704971,1.5437887,0.3434714,73.6124191,99.7318726
-2.1206644,-0.3202786,73.1736679,99.9693909,1.0916524,0.2563367,73.6237106,99.7284241
0.2001832,0.0279662,73.2255707,99.9629211,0.7234885,0.1889216,73.5831604,99.7324829
0.9687852,0.1513335,73.1749344,99.9578781,0.0043933,0.0644856,73.5944366,99.7427292
0.2346487,0.0487545,73.1859283,99.9605637,-0.5467569,-0.0205115,73.6492386,99.752182
-0.2325291,-0.0165231,73.2366409,99.9628601,-0.9816605,-0.097252,73.6549301,99.7600632
-0.7514052,-0.1129831,73.1544037,99.9643631,-1.4510295,-0.1947807,73.6199112,99.7687836
-1.3692951,-0.2073055,73.1654053,99.9674149,-1.7847281,-0.2414075,73.7127838,99.7758713
-1.8192402,-0.2621889,73.1764297,99.9691086,0.159488,0.1580328,73.8598404,99.7624359
-2.2369111,-0.3285353,73.1847229,99.9704742,1.4125006,0.3570718,73.690361,99.7417984
