690,750,800,850,ua,690n,750n,800n,850n,690i,750i,800i,850i,uaa,690ni,750ni,800ni,850ni
60084,60776,60080,60604,0.1023,,,,,1540,1883,1972,1621,0.6233,,,,
57757,58673,57868,58630,0.0788,,,,,1573,1950,2015,1614,0.2331,,,,
55771,56927,55815,56744,0.0437,,,,,1584,2015,2063,1633,0.3282,,,,
53691,54925,53778,54867,0.0235,,,,,1625,1981,2092,1692,0.1073,,,,
51637,52780,51854,52699,0.0113,,,,,1626,2030,2125,1671,0.1738,,,,
49609,50688,49827,50775,0.0067,,,,,1630,2046,2127,1721,0.275,,,,
47660,48811,47901,48783,0.0032,,,,,1670,2121,2168,1708,0.106,,,,
45848,46855,45918,46910,0,,,,,1694,2088,2234,1753,0.238,,,,
43911,44934,44312,45013,0.0105,,,,,1709,2142,2251,1796,0.1257,,,,
42163,43247,42503,43312,0.0142,,,,,1736,2196,2286,1811,0.0333,,,,
40600,41596,40858,41695,0.012,,,,,1753,2205,2320,1831,0.1485,,,,
38929,39801,39207,39913,0.0259,,,,,1786,2224,2378,1817,0.1463,,,,
37254,38150,37680,38305,0.0442,,,,,1771,2325,2377,1878,0.1889,,,,
35812,36631,36127,36755,0.0521,,,,,1847,2337,2465,1912,0.0283,,,,
34367,35217,34738,35516,0.0627,,,,,1864,2407,2472,1929,0.9924,,,,
32903,33733,33252,33931,0.083,,,,,1887,2445,2548,1968,0.9067,,,,
31743,32460,32019,32512,0.0806,,,,,1902,2476,2610,2012,0.9629,,,,
30418,31156,30729,31368,0.1042,,,,,1946,2552,2661,2037,0.9912,,,,
29145,29902,29413,30120,0.1182,,,,,1985,2614,2661,2046,0.5944,,,,
27976,28695,28280,28920,0.1422,,,,,2015,2647,2732,2142,0.864,,,,
27010,27658,27290,27793,0.1426,,,,,2023,2683,2811,2152,1,,,,
25830,26381,26015,26522,0.1745,,,,,2115,2713,2873,2182,0.7536,,,,
24772,25415,24996,25531,0.1954,,,,,2134,2828,2912,2222,0.754,,,,
23842,24271,23980,24560,0.2102,,,,,2150,2899,2942,2283,0.917,,,,
22814,23234,23035,23575,0.2339,,,,,2226,2936,3070,2305,0.518,,,,
21874,22413,22092,22756,0.2597,,,,,2243,3010,3088,2358,0.6045,,,,
21087,21371,21244,21584,0.2662,,,,,2291,3061,3208,2381,0.4928,,,,
20171,20550,20326,20733,0.3064,,,,,2341,3139,3258,2426,0.6054,,,,
19518,19870,19514,20081,0.3036,,,,,2375,3246,3342,2511,0.5726,,,,
18675,19121,18720,19259,0.3307,,,,,2432,3328,3439,2611,0.5595,,,,
17818,18192,17953,18429,0.374,,,,,2511,3383,3491,2618,0.4365,,,,
17131,17475,17248,17703,0.3964,,,,,2549,3475,3564,2667,0.4899,,,,
16369,16712,16618,17046,0.4362,,,,,2560,3530,3654,2713,0.5996,,,,
15781,16088,15922,16240,0.4517,,,,,2673,3632,3743,2792,0.4156,,,,
15183,15503,15320,15698,0.46,,,,,2708,3749,3849,2828,0.268,,,,
14571,14831,14645,15046,0.4917,,,,,2756,3782,3921,2901,0.3237,,,,
14042,14286,14151,14521,0.511,,,,,2816,3980,4068,2972,0.3356,,,,
13496,13686,13574,13962,0.5332,,,,,2827,4029,4156,3018,0.4148,,,,
13220,13333,13173,13623,0.5003,,,,,3020,4189,4291,3172,0,,,,
12367,12618,12539,12817,0.6131,,,,,3001,4194,4386,3180,0.2795,,,,
11961,12156,12062,12307,0.6179,,,,,3062,4332,4445,3244,0.7828,,,,
11466,11601,11645,11834,0.6452,,,,,3153,4426,4546,3311,0.6075,,,,
11011,11163,11224,11464,0.6796,,,,,3188,4503,4658,3392,0.7257,,,,
10680,10726,10802,10943,0.6806,,,,,3267,4691,4821,3479,0.676,,,,
10241,10382,10401,10603,0.7153,,,,,3353,4748,4915,3528,0.6098,,,,
9824,9979,9951,10164,0.7448,,,,,3385,4894,5062,3585,0.6522,,,,
9584,9631,9681,9797,0.7357,,,,,3491,5009,5165,3713,0.5937,,,,
9144,9259,9289,9452,0.7767,,,,,3589,5131,5316,3801,0.4438,,,,
8885,8954,8955,9146,0.7847,,,,,3657,5283,5456,3908,0.5213,,,,
8529,8620,8643,8843,0.8131,,,,,3739,5441,5595,3978,0.459,,,,
8199,8327,8404,8557,0.8422,,,,,3860,5624,5798,4092,0.3469,,,,
7993,8015,8056,8176,0.8455,,,,,3956,5698,5876,4173,0.3849,,,,
7750,7713,7834,7952,0.8521,,,,,4011,5905,6073,4284,0.4361,,,,
7466,7527,7575,7667,0.8671,,,,,4112,6041,6190,4421,0.2178,,,,
7248,7215,7295,7470,0.8773,,,,,4218,6187,6389,4540,0.2056,,,,
7022,6990,7102,7220,0.8759,,,,,4301,6409,6523,4633,0.6432,,,,
6832,6761,6882,6959,0.8818,,,,,4413,6599,6677,4739,0.6359,,,,
6590,6566,6624,6750,0.9121,,,,,4518,6676,6897,4866,0.6457,,,,
6386,6327,6460,6535,0.9269,,,,,4616,6926,7083,4979,0.6596,,,,
6182,6210,6303,6343,0.9436,,,,,4706,7093,7312,5135,0.6878,,,,
6020,5993,6091,6124,0.9383,,,,,4848,7253,7523,5251,0.5942,,,,
5865,5830,5902,5965,0.9398,,,,,4992,7449,7732,5349,0.5387,,,,
5675,5676,5750,5864,0.9479,,,,,5119,7742,7895,5566,0.4745,,,,
5557,5498,5543,5658,0.9304,,,,,5235,7933,8131,5665,0.4646,,,,
5410,5353,5415,5458,0.9438,,,,,5327,8102,8363,5789,0.5561,,,,
5282,5179,5286,5297,0.9367,,,,,5498,8348,8597,5987,0.4673,,,,
5094,5061,5133,5153,0.9719,,,,,5659,8660,8842,6093,0.434,,,,
4998,4894,4986,4996,0.9689,,,,,5758,8874,9070,6345,0.5363,,,,
4862,4756,4844,4895,0.9833,,,,,5894,9099,9271,6468,0.5611,,,,
4747,4638,4740,4763,0.9817,,,,,6083,9373,9570,6619,0.4874,,,,
4591,4490,4609,4635,0.973,,,,,6205,9630,9948,6845,0.4411,,,,
4477,4365,4514,4491,0.9657,,,,,6431,9894,10085,7048,0.31,,,,
4358,4280,4407,4439,1,,,,,6542,10202,10489,7183,0.4528,,,,
4332,4160,4317,4327,0.9606,,,,,6721,10504,10748,7426,0.4542,,,,
4196,4059,4241,4216,0.9896,,,,,6947,10785,11038,7685,0.3919,,,,
4166,4016,4094,4087,0.9696,,,,,7067,11145,11412,7846,0.5287,,,,
