ir,ia,iir,iia,i-lookup-690r,ii-lookup-690r,ir-690-r-test,iir-690-r-test,ir-750-c-test,iir-750-c-test,ir-800-l-test,iir-800-l-test,,iknee-a-690-test,iiknee-a-690-test,iknee-n-690-test,iiknee-n-690-test,,iknee-a-750-test,iiknee-a-750-test,iknee-n-750-test,iiknee-n-750-test,,iknee-a-690-lookup,iiknee-a-690-lookup
2.55E+03,0.88668,4071,0.27497,0.14438,0.4906,5.71E+03,3.59E+03,5438,5952,4595,7183,,7393,7908,8357,7265,,,,,,,0.14438,0.46863
2.43E+03,0.96128,4125,0.3748,0.14438,0.60138,5.45E+03,3.65E+03,5215,6095,4447,7395,,7161,8009,8031,7520,,,,,,,0.14438,0.53528
2.36E+03,0.94326,4337,0.28555,0.14438,0.53577,5.29E+03,3.82E+03,5070,6382,4325,7636,,7093,8262,8009,7579,,,,,,,0.14438,0.52483
2.30E+03,0.9187,4453,0.31959,0.14438,0.50807,5.00E+03,3.97E+03,4845,6611,4163,7872,,6921,8470,7628,7772,,,,,,,0.14438,0.55496
2.20E+03,0.97871,4568,0.35995,0.14438,0.40457,4.89E+03,4.18E+03,4697,6882,3993,8077,,6705,8592,7616,7975,,,,,,,0.14438,0.47838
2.18E+03,0.90199,4788,0.28659,0.14438,0.56186,4.62E+03,4.22E+03,4464,7093,3841,8268,,6523,8910,7424,8043,,,,,,,0.14438,0.47838
2.08E+03,0.96158,4925,0.31421,0.14438,0.46863,4.49E+03,4.43E+03,4320,7349,3739,8569,,6375,9028,7226,8245,,,,,,,0.14438,0.56265
2.04E+03,0.90774,5133,0.27154,0.14438,0.53528,4.36E+03,4.54E+03,4138,7598,3667,9006,,6360,9241,7126,8531,,,,,,,0.14438,0.54737
1.95E+03,0.96335,5327,0.25234,0.14438,0.52483,4.21E+03,4.71E+03,3986,7892,3590,9161,,6190,9499,6886,8721,,,,,,,0.14438,0.54737
1.88E+03,0.991,5488,0.27421,0.14438,0.55496,4.00E+03,4.86E+03,3842,8214,3441,9523,,6059,9750,6882,8882,,,,,,,0.14438,0.46594
1.84E+03,0.95146,5759,0.19429,0.14438,0.47838,3.89E+03,5.09E+03,3732,8516,3340,9771,,5981,9856,6679,8929,,,,,,,0.14438,0.47485
1.78E+03,0.95501,5877,0.27138,0.14438,0.56265,3.70E+03,5.22E+03,3538,8812,3256,10053,,5832,10256,6583,9318,,,,,,,0.14438,0.52006
1.79E+03,0.8337,6062,0.28994,0.14438,0.54737,3.62E+03,5.42E+03,3440,9157,3076,10394,,5700,10487,6398,9455,,,,,,,0.14438,0.55873
1.71E+03,0.89359,6420,0.15737,0.14438,0.46594,3.49E+03,5.68E+03,3307,9461,3075,10758,,5577,10812,6389,9763,,,,,,,0.14438,0.50654
1.68E+03,0.85199,6550,0.24062,0.14438,0.47485,3.34E+03,5.88E+03,3176,9886,2973,11055,,5462,11088,6135,9877,,,,,,,0.14438,0.57765
1.57E+03,0.9788,6835,0.19382,0.14438,0.52006,3.26E+03,6.06E+03,3055,10179,2828,11387,,5442,11344,6092,10313,,,,,,,0,0.58566
1.57E+03,0.87791,7085,0.18679,0.14438,0.55873,3.09E+03,6.25E+03,2908,10581,2791,11772,,5244,11618,5946,10455,,,,,,,0,0.58566
1.50E+03,0.92131,7412,0.12544,0.14438,0.50654,3.08E+03,6.53E+03,2853,11017,2680,12163,,5251,11940,5851,10680,,,,,,,0,0.5121
1.47E+03,0.89744,7669,0.13075,0.14438,0.57765,2.88E+03,6.71E+03,2702,11378,2629,12564,,5096,12393,5712,10952,,,,,,,0,0.53703
1.47E+03,0.80127,7922,0.14729,0.14438,0.58566,2.83E+03,6.96E+03,2661,11789,2594,12957,,5053,12646,5567,11173,,,,,,,0,0.60357
1.41E+03,0.83326,8246,0.11802,0.14438,0.5121,2.74E+03,7.29E+03,2615,12315,2447,13414,,4988,13103,5460,11535,,,,,,,0,0.66203
1.34E+03,0.91288,8568,0.10041,0.14438,0.53703,2.68E+03,7.54E+03,2500,12852,2441,13909,,4881,13419,5396,11973,,,,,,,0,0.58209
1.35E+03,0.77795,8859,0.11471,0.14438,0.60357,2.57E+03,7.77E+03,2427,13218,2327,14292,,4778,13826,5206,12132,,,,,,,0,0.58209
1.35E+03,0.70236,9239,0.075414,0.14438,0.66203,2.49E+03,8.01E+03,2302,13691,2284,14806,,4819,14194,5172,12458,,,,,,,0,0.56129
1.28E+03,0.75909,9551,0.093455,0.78716,0.58209,2.48E+03,8.40E+03,2255,14254,2248,15299,,4663,14779,5077,12784,,,,,,,0,0.5631
1.22E+03,0.82294,9976,0.04552,0,0.56129,2.33E+03,8.75E+03,2204,14849,2240,15795,,4578,15062,4945,13163,,,,,,,0,0.59906
1.20E+03,0.78812,10357,0.037958,0,0.5631,2.32E+03,9.09E+03,2129,15452,2136,16423,,4511,15465,4970,13584,,,,,,,0,0.61325
