O2Hb1,HHB1,TSI1,TSIFT1,O2Hb2,HHB2,TSI2,TSIFT2
21.1209126,12.7702665,70.9675674,99.8723907,24.7393036,12.7567492,71.5199814,99.5257034
20.8959408,12.7428246,71.0056686,99.8752136,24.6639462,12.7422266,71.5199814,99.5213852
21.6053238,12.8459387,71.0196686,99.8657761,24.3958931,12.6887989,71.4593277,99.5302887
22.5913773,13.0076761,71.0083771,99.8443451,24.111702,12.6411037,71.5306702,99.539856
22.6075153,13.0019445,70.9410324,99.843689,23.9028664,12.6079302,71.5648346,99.5503235
22.2318306,12.9454575,70.9761124,99.8503952,23.7015514,12.5638285,71.5352631,99.5606003
22.0143776,12.9070873,70.98172,99.8554077,23.4421139,12.5155993,71.507164,99.5702362
21.6968174,12.8547297,70.9535751,99.8613968,23.8275089,12.5934076,71.5510178,99.5654907
21.3964882,12.8127651,70.9929657,99.8678589,24.7306862,12.7515516,71.6361237,99.5505676
21.1876526,12.7795925,70.9971924,99.8712387,24.8221798,12.7603426,71.5184555,99.5293884
20.9540634,12.746953,71.0014267,99.8745728,24.7048378,12.735961,71.5184555,99.5212021
21.5321598,12.8636675,71.1193161,99.8661041,24.5713577,12.71731,71.5540771,99.5250626
22.5827618,13.0024786,71.0069656,99.8447418,24.2699337,12.6592197,71.4949875,99.532196
22.5999947,13.0128727,71.0420151,99.8437958,24.0438652,12.615653,71.498024,99.5406799
22.2479668,12.9397268,70.9761124,99.8515778,23.8684006,12.587142,71.5010681,99.5513992
22.022995,12.9122849,71.049118,99.8555069,23.6423321,12.5435753,71.5383301,99.5621185
21.721571,12.8541946,71.0196686,99.8623734,23.4668674,12.5150642,71.5413971,99.5707626
21.4384747,12.8226252,71.0590897,99.8671875,24.413126,12.699193,71.7009354,99.5568695
21.2543926,12.7889175,71.0619431,99.8698196,25.189249,12.8116322,71.5697098,99.532135
21.0616951,12.7500124,70.9971924,99.8734512,25.1558781,12.8069696,71.5169373,99.5076141
21.5978031,12.8568668,71.1486206,99.8649368,25.0385361,12.7825871,71.5169373,99.501236
22.5902824,12.9915504,71.0727844,99.845787,24.8038521,12.7338228,71.5556107,99.508728
22.5569115,12.9868879,71.0391846,99.8451309,24.48629,12.6814642,71.5602188,99.5180206
22.2307339,12.9293327,71.0742111,99.8524399,24.2613182,12.6540232,71.5943527,99.5318375
22.0143776,12.9070873,71.0784988,99.8576813,24.0513859,12.6047239,71.5663757,99.5405807
21.6968174,12.8547297,71.1178741,99.8620529,23.8005657,12.5616913,71.5383301,99.5534592
21.4212418,12.8122311,71.1573257,99.8668671,23.7424412,12.5575628,71.6316071,99.5598679
21.2371597,12.7785234,71.0928192,99.8705292,24.8630714,12.754077,71.6977921,99.5462646
21.0369415,12.7505474,71.129425,99.8726196,25.4475899,12.8437366,71.5697098,99.5138245
21.8636665,12.8780432,71.1428299,99.8585281,25.2968788,12.8146915,71.5804672,99.4949265
22.8152542,13.0189924,71.1006393,99.8419571,25.1547832,12.790844,71.6129684,99.4948502
22.7485142,13.0096664,71.1006393,99.8419571,24.8619747,12.7379513,71.5850906,99.5063095
22.397583,12.9526453,71.1370468,99.8489532,24.5444126,12.6855927,71.6238251,99.516922
22.1639957,12.9200068,71.1399384,99.8534546,24.3430996,12.6414909,71.6253815,99.5303879
21.8625698,12.8619175,71.1135559,99.8585739,24.100893,12.6036558,71.6300507,99.542572
21.5956116,12.8246155,71.1529694,99.8645782,23.8500729,12.5606222,71.6362762,99.5517578
21.386776,12.7914429,71.1236496,99.8668823,23.8597832,12.5819454,71.7261505,99.5578003
21.1940784,12.7525377,71.0913849,99.8708878,24.9965496,12.772728,71.7577438,99.5386963
22.0218983,12.8961592,71.1749344,99.8600464,25.497097,12.8426676,71.668541,99.5091095
22.9315014,13.0272484,71.131279,99.83918,25.2968788,12.8146915,71.6423416,99.4936295
22.8475285,13.0075293,71.0977707,99.8403091,25.1547832,12.790844,71.6423416,99.4956284
22.4804611,12.9562397,71.1006393,99.8466873,24.8619747,12.7379513,71.6826172,99.5045471
22.2382545,12.9184036,71.1399384,99.8500214,24.5777836,12.6902552,71.6857605,99.5144348
21.9206944,12.866046,71.1457214,99.857254,24.3850842,12.651351,71.6873245,99.5291138
21.637598,12.8344755,71.1851349,99.8621445,24.1590176,12.6077833,71.6579361,99.5376892
21.4362831,12.7903738,71.1207581,99.86586,23.9254284,12.5751448,71.6983337,99.5493393
21.218832,12.7520037,71.1602325,99.8684998,24.1428795,12.6135149,71.7135162,99.5451965
21.9540634,12.8707085,71.2070084,99.8582077,25.1547832,12.790844,71.7916336,99.5307388
22.8895149,13.0173893,71.131279,99.8385239,25.346386,12.8136225,71.6700974,99.5053558
22.8302956,12.9971352,71.099205,99.8381195,25.1623039,12.7799158,71.6732254,99.4985733
22.4632282,12.9458456,71.170578,99.8461151,25.0126877,12.7669964,71.7427979,99.5018539
22.2382545,12.9184036,71.1763916,99.8505478,24.6951256,12.7146378,71.7150955,99.5120316
21.9206944,12.866046,71.1822205,99.8560791,24.4604416,12.6658735,71.7182465,99.5237885
21.6451187,12.8235474,71.1529694,99.8601227,24.2602215,12.6378975,71.7523041,99.5344162
21.4524212,12.7846422,71.1236496,99.8624573,24.0007839,12.5896673,71.758667,99.5455551
21.2274475,12.7572002,71.129425,99.8666687,23.8500729,12.5606222,71.7245636,99.5541687
21.8292007,12.857255,71.1807632,99.8552856,24.7801933,12.7504826,71.915802,99.545639
22.7883091,12.9872751,71.0713577,99.8378448,25.4142208,12.8390741,71.7868576,99.5177231
22.7463245,12.9774151,71.0727844,99.8356476,25.2721252,12.8152266,71.7656708,99.4990082
22.4126244,12.930789,71.1106796,99.8448257,25.1300297,12.791378,71.7624969,99.5013885
22.1876526,12.903347,71.1486206,99.8479156,24.8458385,12.7436829,71.7688446,99.508934
21.8862286,12.8452568,71.0870819,99.8516846,24.5282764,12.6913242,71.773613,99.5220871
21.6354065,12.8022242,71.1265335,99.8573074,24.3022079,12.6477575,71.7752075,99.5335312
21.4351883,12.7742481,71.0633698,99.8595734,24.0438652,12.615653,71.778389,99.5424042
21.2683392,12.7509346,71.0662308,99.8628082,23.7758121,12.5622253,71.7847672,99.5553284
22.1704197,12.8929529,71.1164398,99.8469772,24.111702,12.6411037,71.9545288,99.5535202
22.8711872,12.9908695,71.0770721,99.8296051,25.1063709,12.8080387,71.8674698,99.5372238
22.6537342,12.9524994,71.0462723,99.8318863,25.3238239,12.8464088,71.8449402,99.5136871
22.3286533,12.9110689,71.1164398,99.839798,25.1063709,12.8080387,71.8497543,99.5059586
22.0864468,12.8732338,71.0885162,99.8436584,24.9061527,12.7800617,71.8513641,99.5093079
21.7688866,12.8208752,71.0942535,99.8505249,24.5713577,12.71731,71.8239212,99.5225143
21.5180645,12.7778425,71.0985718,99.8552856,24.295784,12.6748114,71.8287277,99.5335617
21.3006134,12.7394714,71.0690918,99.8576584,24.0535774,12.6369753,71.8658676,99.5455704
21.2263527,12.7410755,71.1381226,99.8596954,23.7941399,12.5887451,71.8367538,99.553978
22.3211327,12.921998,71.1500702,99.8380051,23.5185642,12.5462465,71.8415833,99.5658417
22.9540634,12.994463,71.0434341,99.8226242,24.1633987,12.672286,71.9703217,99.5582047
22.6698723,12.9467678,71.0827866,99.8293304,24.9664669,12.8164415,71.9909286,99.5436172
22.3447895,12.9053373,71.0842209,99.8356857,25.0332069,12.8257666,71.8755188,99.522377
22.0853519,12.8571081,71.0913849,99.8411865,24.8577404,12.7972565,71.878746,99.5157394
21.7677898,12.8047495,71.0647964,99.8470688,24.6402893,12.7588863,71.8819733,99.5204239
21.5083523,12.7565193,71.0676575,99.8522644,24.3227272,12.7065277,71.8578033,99.5288315
