intensity,750,800,850,ua,left,right,ctr
18509,20810,19117,17776,0.0793,,,
17635,19759,18294,16888,0.0967,,,
16880,18865,17497,16148,0.101,,,
16277,18234,16696,15521,0.0982,,,
15470,17397,16022,14853,0.1209,,,
14771,16620,15296,13975,0.1335,,,
14145,15915,14547,13446,0.1418,,,
13561,15225,13954,12839,0.1479,,,
12915,14544,13538,12268,0.1681,,,
12584,14082,12866,11831,0.1492,,,
12031,13547,12338,11246,0.1591,,,
11583,12995,11962,10867,0.1654,,,
11154,12615,11408,10521,0.163,,,
10971,12354,11096,10233,0.1342,,,
10368,11629,10632,9569,0.1671,,,
10002,11255,10185,9264,0.1652,,,
9671,10807,9833,8868,0.1667,,,
9317,10481,9496,8542,0.1656,,,
9044,10096,9177,8284,0.1652,,,
8726,9826,8932,7975,0.1583,,,
8393,9469,8585,7670,0.1649,,,
8226,9170,8273,7370,0.1502,,,
7900,8815,7986,7167,0.1613,,,
7629,8584,7734,6907,0.1552,,,
7396,8312,7508,6633,0.1583,,,
7162,8029,7218,6442,0.1589,,,
6917,7726,6927,6108,0.1644,,,
6675,7444,6763,5968,0.1647,,,
6479,7184,6507,5723,0.1642,,,
6291,6965,6242,5495,0.1591,,,
6049,6721,6061,5294,0.1742,,,
5888,6485,5856,5125,0.1696,,,
5621,6231,5656,4911,0.1987,,,
5492,6042,5418,4790,0.1896,,,
5245,5756,5212,4556,0.2105,,,
5021,5645,5077,4424,0.22,,,
4861,5398,4894,4282,0.235,,,
4743,5266,4723,4179,0.2176,,,
4573,5045,4601,3994,0.2318,,,
4445,4854,4404,3897,0.2373,,,
4265,4689,4300,3731,0.258,,,
4161,4537,4084,3571,0.2428,,,
3989,4360,3981,3450,0.2861,,,
3805,4276,3826,3347,0.2931,,,
3738,4121,3719,3253,0.2841,,,
3577,4009,3599,3185,0.333,,,
3499,3890,3465,3058,0.3089,,,
3402,3713,3351,2971,0.2999,,,
3245,3623,3279,2858,0.3342,,,
3189,3478,3167,2767,0.3486,,,
3048,3343,3044,2664,0.3595,,,
2967,3243,2988,2623,0.3663,,,
2874,3149,2906,2509,0.3734,,,
2789,3052,2789,2445,0.3633,,,
2729,2952,2724,2405,0.3871,,,
2628,2872,2672,2289,0.4069,,,
2574,2819,2570,2266,0.3918,,,
2489,2739,2515,2197,0.4219,,,
2427,2673,2423,2173,0.4389,,,
2268,2570,2358,2100,0.4959,,,
2295,2517,2317,2051,0.4684,,,
2275,2490,2245,2028,0.4388,,,
2177,2379,2183,1949,0.4574,,,
2123,2353,2156,1875,0.5034,,,
2107,2286,2087,1859,0.4617,,,
2033,2225,2041,1794,0.4622,,,
1995,2156,1984,1769,0.4892,,,
1979,2132,1960,1745,0.4792,,,
1921,2059,1931,1713,0.4665,,,
1819,2009,1856,1673,0.5505,,,
1822,2007,1851,1656,0.5234,,,
1775,1951,1797,1616,0.5468,,,
1726,1873,1747,1579,0.576,,,
1717,1886,1756,1529,0.5647,,,
1669,1846,1707,1509,0.579,,,
1609,1779,1663,1488,0.631,,,
1649,1738,1628,1468,0.5306,,,
1581,1732,1576,1458,0.5655,,,
1561,1668,1567,1424,0.591,,,
1511,1657,1569,1413,0.7156,,,
1511,1635,1542,1378,0.5832,,,
1489,1618,1483,1376,0.6519,,,
1432,1562,1485,1365,0.7049,,,
1459,1551,1485,1360,0.6229,,,
1420,1533,1452,1352,0.6841,,,
1406,1513,1438,1318,0.6123,,,
1371,1473,1398,1310,0.6606,,,
1351,1465,1403,1273,0.647,,,
1305,1489,1407,1296,0.8212,,,
1342,1427,1363,1224,0.6541,,,
1262,1415,1360,1233,0.8309,,,
1290,1387,1336,1228,0.7594,,,
1251,1407,1347,1218,0.6941,,,
1263,1361,1277,1213,0.8063,,,
1243,1356,1331,1199,0.8154,,,
1242,1337,1288,1206,0.8644,,,
1224,1281,1283,1192,0.7982,,,
