intensity,750,800,850,uaa,left,right,ctr
6798,,,,0.4223,,,
7044,,,,0.415,,,
7343,,,,0.4381,,,
7631,,,,0.4359,,,
7994,,,,0.4079,,,
8414,,,,0.4267,,,
8623,,,,0.4202,,,
8991,,,,0.4331,,,
9371,,,,0.4112,,,
9730,,,,0.4085,,,
10226,,,,0.4139,,,
10576,,,,0.4114,,,
11142,,,,0.397,,,
11622,,,,0.3957,,,
12197,,,,0.401,,,
12687,,,,0.3924,,,
13281,,,,0.3918,,,
13886,,,,0.3674,,,
14639,,,,0.3764,,,
15172,,,,0.3748,,,
15885,,,,0.3555,,,
16567,,,,0.4155,,,
17336,,,,0.3922,,,
18209,,,,0.3864,,,
19021,,,,0.3831,,,
19912,,,,0.3749,,,
20748,,,,0.3652,,,
21717,,,,0.3824,,,
22703,,,,0.3718,,,
23753,,,,0.3696,,,
24861,,,,0.365,,,
25873,,,,0.3661,,,
27080,,,,0.3687,,,
28267,,,,0.3786,,,
29422,,,,0.3782,,,
917,,,,0.3716,,,
933,,,,0.4954,,,
895,,,,0.4954,,,
954,,,,0.2477,,,
938,,,,0.2477,,,
928,,,,0.6193,,,
980,,,,0.6193,,,
1002,,,,0.6193,,,
984,,,,0.6193,,,
973,,,,0.6193,,,
1004,,,,0.867,,,
1022,,,,0.867,,,
1008,,,,0.867,,,
1003,,,,0.867,,,
1060,,,,0.867,,,
1037,,,,0.9,,,
1061,,,,0.6696,,,
1062,,,,0.7431,,,
