690i,ua,690ii,uaa,u1i,u2i,u3i,u4i,u5i,u6i,u7i,u8i,u9i,u10i,u1ii,u2ii,u3ii,u4ii,u5ii,u6ii,u7ii,u8ii,u9ii,u10ii,h1i,h2i,h3i,h4i,h5i,h6i,h7i,h8i,h9i,h10i,h1ii,h2ii,h3ii,h4ii,h5ii,h6ii,h7ii,h8ii,h9ii,h10ii
8299,0.4988,3728,0.4952,6993,9037,8992,8641,8369,7554,7494,7509,9101,9306,2961,3417,3266,2985,2674,3139,2696,2805,3140,3108,9856,9962,10802,10785,10786,9657,8870,8644,9620,8984,3515,2719,3476,3956,3796,3265,3210,3098,3351,3605
8025,0.5476,3823,0.5717,6807,8820,8722,8395,8100,7309,7292,7356,8944,9078,3085,3514,3336,3123,2746,3221,2807,2915,3200,3214,9715,9702,10560,10523,10489,9462,8733,8486,9388,8803,3550,2756,3596,4032,3889,3338,3274,3210,3408,3674
7765,0.5595,3950,0.4977,6736,8619,8496,8222,7903,7130,7108,7109,8731,8942,3166,3564,3380,3156,2813,3279,2872,2970,3299,3282,9453,9409,10276,10266,10232,9149,8487,8289,9101,8583,3635,2845,3687,4142,3926,3388,3361,3274,3406,3768
7517,0.5498,4055,0.4356,6461,8473,8236,8010,7658,6941,6981,6913,8501,8736,3205,3614,3449,3246,2855,3407,2938,3055,3367,3339,9264,9141,10068,10067,9942,8993,8296,8057,8876,8377,3709,2891,3747,4212,4053,3435,3447,3368,3542,3850
7276,0.5866,4176,0.4493,6348,8259,8052,7803,7447,6727,6696,6732,8344,8514,3314,3728,3558,3281,2951,3460,3014,3112,3442,3410,9018,8954,9777,9730,9676,8769,8025,7882,8594,8233,3816,2899,3820,4290,4177,3561,3508,3412,3637,3954
7054,0.5755,4263,0.4547,6219,8028,7820,7605,7289,6536,6553,6595,8055,8340,3332,3790,3613,3341,3011,3571,3075,3185,3537,3511,8827,8738,9516,9487,9465,8460,7917,7672,8356,7979,3893,2961,3897,4396,4221,3633,3608,3471,3708,4053
6876,0.5767,4407,0.4525,6037,7858,7645,7397,7059,6404,6450,6396,7948,8199,3465,3934,3727,3470,3126,3651,3110,3296,3602,3622,8668,8503,9329,9225,9209,8328,7641,7520,8117,7840,4015,3028,4044,4530,4350,3704,3696,3587,3754,4183
6643,0.5667,4523,0.3742,5905,7614,7429,7295,6854,6249,6192,6227,7759,7975,3524,4005,3727,3604,3184,3759,3191,3387,3661,3724,8460,8284,9020,9057,9039,8067,7491,7349,7876,7608,4085,3122,4086,4661,4385,3778,3740,3656,3861,4174
6415,0.64,4618,0.4865,5693,7384,7229,7026,6687,6074,6020,6045,7513,7838,3584,4114,3838,3666,3246,3848,3330,3402,3701,3757,8305,8107,8852,8865,8741,7895,7296,7190,7667,7415,4235,3186,4188,4764,4482,3839,3871,3752,3948,4298
6218,0.6125,4745,0.4143,5606,7212,6997,6883,6490,5921,5889,5912,7323,7624,3744,4189,3939,3739,3361,3938,3403,3533,3834,3936,8030,7891,8600,8645,8543,7674,7160,6974,7495,7261,4275,3308,4266,4838,4551,3953,3934,3844,4082,4426
